Time,Number of drops per frame,rain on ground
2025-11-25T07:14:52.109797,0.2,no_rain:0.9900847673416138 
2025-11-25T07:16:53.337118,0.05,no_rain:0.9901444911956787 
2025-11-25T07:19:18.984518,0.35000000000000003,no_rain:0.9898974895477295 
2025-11-25T07:20:31.350666,0.35000000000000003,no_rain:0.990119218826294 
2025-11-25T07:22:31.974204,0.25,no_rain:0.9905315041542053 
2025-11-25T07:24:32.456867,0.05,no_rain:0.9901264905929565 
2025-11-25T07:26:56.936986,0.15,no_rain:0.9902982115745544 
2025-11-25T07:32:34.550615,0.15,no_rain:0.9902182221412659 
2025-11-25T07:36:12.317575,0.15,no_rain:0.9896317720413208 
2025-11-25T07:41:52.395120,0.3,no_rain:0.9901530146598816 
2025-11-25T07:49:08.010965,0.35000000000000003,no_rain:0.990082323551178 
2025-11-25T08:04:24.203466,0.05,no_rain:0.9848086833953857 
2025-11-25T08:22:28.391317,0.05,no_rain:0.986071765422821 
2025-11-25T08:57:24.805622,0.05,no_rain:0.9863337874412537 
2025-11-25T09:10:42.741005,0.2,no_rain:0.9866868257522583 
2025-11-25T09:16:20.014549,0.15,no_rain:0.9867967367172241 
2025-11-25T09:18:20.452300,0.05,no_rain:0.9860814809799194 
2025-11-25T09:36:27.577039,0.05,no_rain:0.9878627061843872 
2025-11-25T09:43:44.388886,0.2,no_rain:0.9860554933547974 
2025-11-25T09:48:58.454041,0.35000000000000003,no_rain:0.985836386680603 
2025-11-25T09:55:23.870020,0.3,no_rain:0.9861378073692322 
2025-11-25T10:35:13.911371,0.55,no_rain:0.9598758220672607 
2025-11-25T10:36:26.201878,0.44999999999999996,no_rain:0.9660988450050354 
2025-11-25T10:41:39.487971,0.2,no_rain:0.9667623043060303 
2025-11-25T10:44:04.262042,0.05,no_rain:0.9722855091094971 
2025-11-25T10:48:07.432270,0.2,no_rain:0.9524009823799133 
2025-11-25T10:49:19.688046,0.05,no_rain:0.9646729826927185 
2025-11-25T10:54:32.795121,0.05,no_rain:0.97121262550354 
2025-11-25T10:55:20.935467,0.05,no_rain:0.9726567268371582 
2025-11-25T10:58:57.717769,0.15,no_rain:0.9684950113296509 
2025-11-25T11:10:38.033521,0.15,no_rain:0.967343807220459 
2025-11-25T11:21:54.694040,0.05,no_rain:0.9680206775665283 
2025-11-25T11:27:58.030330,0.05,no_rain:0.9636510014533997 
2025-11-25T11:29:58.429879,0.3,no_rain:0.9650740623474121 
2025-11-25T11:34:23.373971,0.05,no_rain:0.9500239491462708 
