Time,Number of drops per frame,rain on ground
2025-11-24T07:07:45.588643,0.05,no_rain:0.7759621143341064 
2025-11-24T07:09:21.707131,0.15,no_rain:0.8001768589019775 
2025-11-24T07:13:22.485742,0.25,no_rain:0.9308304786682129 
2025-11-24T07:14:10.604174,0.15,no_rain:0.910158634185791 
2025-11-24T07:15:46.947184,0.15,no_rain:0.8280026912689209 
2025-11-24T07:18:35.605690,0.2,no_rain:0.8428550958633423 
2025-11-24T07:20:11.940609,0.2,no_rain:0.7717220187187195 
2025-11-24T07:21:24.132673,0.05,no_rain:0.8247056603431702 
2025-11-24T07:25:00.794781,0.15,no_rain:0.8470218777656555 
2025-11-24T07:34:15.505986,0.05,no_rain:0.7927634119987488 
2025-11-24T07:43:56.138709,0.15,no_rain:0.7016558051109314 
2025-11-24T07:53:33.360570,0.15,rain:0.7020140886306763 
2025-11-24T07:58:47.155581,0.2,no_rain:0.7551971673965454 
2025-11-24T08:06:24.250908,0.6,rain:0.7402400970458984 
2025-11-24T08:16:24.482947,0.05,
2025-11-24T08:25:13.711051,0.05,rain:0.8818820118904114 
2025-11-24T08:38:27.562060,0.25,rain:0.8991124629974365 
2025-11-24T08:45:16.927618,0.35000000000000003,rain:0.9082748889923096 
2025-11-24T08:53:18.838705,0.15,rain:0.8936467170715332 rain:0.8544700741767883 
2025-11-24T08:57:20.078797,0.5,rain:0.8672995567321777 
2025-11-24T09:05:47.242696,0.2,rain:0.7685768604278564 
2025-11-24T09:09:23.441439,0.15,rain:0.850566029548645 
2025-11-24T09:21:27.948698,0.35000000000000003,
2025-11-24T09:27:52.106161,0.05,
2025-11-24T09:28:40.136736,0.5,
2025-11-24T09:30:16.185951,0.05,
2025-11-24T09:35:04.297498,0.25,
2025-11-24T09:35:28.333146,0.05,
2025-11-24T09:35:52.343146,0.05,
2025-11-24T09:38:16.719998,0.3,
2025-11-24T09:40:41.148732,0.15,rain:0.8893292546272278 
2025-11-24T09:45:05.974507,0.25,rain:0.8571357727050781 
2025-11-24T09:49:30.570893,0.15,
2025-11-24T09:51:06.735481,0.05,rain:0.8595996499061584 
2025-11-24T09:52:43.023488,0.2,rain:0.8866161704063416 
2025-11-24T09:55:55.604214,0.3,
2025-11-24T09:56:19.618988,0.2,no_rain:0.7152557373046875 
2025-11-24T09:56:43.666430,0.05,no_rain:0.9526231288909912 
2025-11-24T09:57:07.707185,0.3,no_rain:0.9741470217704773 
2025-11-24T09:57:31.782846,0.15,no_rain:0.9760338664054871 
2025-11-24T09:57:55.859592,0.25,no_rain:0.9720419049263 
2025-11-24T09:58:19.938285,0.15,no_rain:0.9762349128723145 
2025-11-24T09:59:32.087006,0.2,no_rain:0.9808752536773682 
2025-11-24T10:00:20.245804,0.15,no_rain:0.9805235266685486 
2025-11-24T10:00:44.282436,0.25,no_rain:0.9792264699935913 
2025-11-24T10:01:08.317367,0.15,no_rain:0.9794761538505554 
2025-11-24T10:02:20.453768,0.2,no_rain:0.9826229810714722 
2025-11-24T10:02:44.536266,0.05,no_rain:0.9793619513511658 
2025-11-24T10:05:57.185587,0.15,no_rain:0.9795404672622681 
2025-11-24T10:07:09.416782,0.2,no_rain:0.9708415865898132 
2025-11-24T10:09:33.813116,0.6,
2025-11-24T10:10:45.850752,0.44999999999999996,no_rain:0.7523754835128784 
2025-11-24T10:11:09.831129,1.3,
2025-11-24T10:11:33.852702,0.15,
2025-11-24T10:11:57.877596,0.25,
2025-11-24T10:13:58.212229,0.05,no_rain:0.9084420800209045 
2025-11-24T10:14:46.263737,0.2,
2025-11-24T10:18:22.581121,0.05,no_rain:0.9764133095741272 
2025-11-24T10:18:46.691565,0.15,no_rain:0.9450091123580933 
2025-11-24T10:20:23.071837,0.3,no_rain:0.7818076014518738 
2025-11-24T10:20:47.126704,1.05,
2025-11-24T10:21:59.379795,0.3,
2025-11-24T10:23:11.868309,0.35000000000000003,
2025-11-24T10:24:24.421783,0.44999999999999996,
2025-11-24T10:25:12.867788,0.2,
2025-11-24T10:26:01.320609,0.2,
2025-11-24T10:28:02.698995,0.2,no_rain:0.9735615253448486 
2025-11-24T10:29:15.003836,0.05,no_rain:0.9868925213813782 
2025-11-24T10:29:39.094003,0.3,no_rain:0.9873248338699341 
2025-11-24T10:30:27.368450,0.15,no_rain:0.987576961517334 
2025-11-24T10:31:15.584323,0.8500000000000001,no_rain:0.9795641303062439 
2025-11-24T10:31:39.669457,1.6500000000000001,no_rain:0.7627929449081421 
2025-11-24T10:32:03.704371,0.25,
2025-11-24T10:32:27.737805,0.05,no_rain:0.7411875128746033 
2025-11-24T10:32:51.787625,1.7000000000000002,no_rain:0.7843185663223267 
2025-11-24T10:33:15.853399,0.15,no_rain:0.9390297532081604 
2025-11-24T10:33:39.974310,0.5,no_rain:0.9851772785186768 
2025-11-24T10:34:04.088999,1.3,no_rain:0.9866748452186584 
2025-11-24T10:34:28.201055,1.05,no_rain:0.9873397350311279 
2025-11-24T10:34:52.317447,0.05,no_rain:0.986912727355957 
2025-11-24T10:35:16.424502,1.1500000000000001,no_rain:0.9811695218086243 
2025-11-24T10:36:04.591156,0.3,
2025-11-24T10:36:28.662350,0.44999999999999996,
2025-11-24T10:36:52.704920,0.15,
2025-11-24T10:37:16.743922,0.05,
2025-11-24T10:40:05.337273,0.5,no_rain:0.9864374399185181 
2025-11-24T10:42:29.608578,0.05,
2025-11-24T10:43:41.711999,0.15,
2025-11-24T10:44:29.812451,0.05,
2025-11-24T10:44:53.886623,0.15,no_rain:0.8659703731536865 
2025-11-24T10:45:17.941959,0.25,no_rain:0.7212539911270142 
2025-11-24T10:45:42.002968,1.1500000000000001,no_rain:0.7805711627006531 
2025-11-24T10:46:06.106690,0.2,no_rain:0.9569367170333862 
2025-11-24T10:46:30.210728,0.2,no_rain:0.9811623096466064 
2025-11-24T10:46:54.316558,0.05,no_rain:0.9871509075164795 
2025-11-24T10:47:18.419743,0.3,no_rain:0.9866976141929626 
2025-11-24T10:47:42.533545,0.2,no_rain:0.9864501357078552 
2025-11-24T10:48:30.758384,0.15,no_rain:0.9860348701477051 
2025-11-24T10:48:54.861548,0.8,no_rain:0.9873483180999756 
2025-11-24T10:49:18.975107,1.0,no_rain:0.9871199131011963 
2025-11-24T10:49:43.076341,1.7000000000000002,no_rain:0.9865708947181702 
2025-11-24T10:50:07.178387,3.4000000000000004,no_rain:0.9442048668861389 
2025-11-24T10:50:31.276920,2.8000000000000003,no_rain:0.7727822661399841 
2025-11-24T10:50:55.321716,0.2,
2025-11-24T10:51:19.395666,2.3499999999999996,no_rain:0.7516295313835144 
2025-11-24T10:51:43.475519,1.3,no_rain:0.8322767615318298 
2025-11-24T10:52:07.584038,0.75,no_rain:0.9642367362976074 
2025-11-24T10:52:31.690071,2.75,no_rain:0.9870378971099854 
2025-11-24T10:52:55.789550,2.05,no_rain:0.9854124188423157 
2025-11-24T10:53:19.893968,0.8500000000000001,no_rain:0.9868521094322205 
2025-11-24T10:54:08.097896,0.05,no_rain:0.9859959483146667 
2025-11-24T10:54:32.200293,0.7000000000000001,no_rain:0.9856254458427429 
2025-11-24T10:54:56.292452,1.05,no_rain:0.9757477641105652 
2025-11-24T10:55:20.401988,0.3,no_rain:0.9741661548614502 
2025-11-24T10:55:44.496481,0.15,no_rain:0.732933521270752 
2025-11-24T10:58:33.834129,0.2,
2025-11-24T10:58:57.993031,1.1500000000000001,no_rain:0.7247878909111023 
2025-11-24T10:59:22.168593,0.44999999999999996,
2025-11-24T11:01:47.495740,2.2,no_rain:0.9726109504699707 
2025-11-24T11:02:11.711144,0.35000000000000003,no_rain:0.9705478549003601 
2025-11-24T11:05:00.501088,0.44999999999999996,no_rain:0.9832397103309631 
2025-11-24T11:05:24.611032,0.44999999999999996,no_rain:0.9820656180381775 
2025-11-24T11:07:01.033862,0.35000000000000003,no_rain:0.9864882826805115 
2025-11-24T11:07:25.148361,0.25,no_rain:0.9844067096710205 
2025-11-24T11:07:49.260705,0.2,no_rain:0.9850373864173889 
2025-11-24T11:08:13.441094,0.95,no_rain:0.9816892147064209 
2025-11-24T11:13:02.655439,0.55,
2025-11-24T11:13:26.840512,1.55,
2025-11-24T11:15:03.783973,1.9,no_rain:0.900809109210968 
2025-11-24T11:15:28.080356,2.8000000000000003,no_rain:0.9433352947235107 
2025-11-24T11:15:52.358937,0.3,no_rain:0.9745906591415405 
2025-11-24T11:16:40.939478,1.9500000000000002,no_rain:0.7109861373901367 
2025-11-24T11:17:29.394402,0.55,
2025-11-24T11:20:18.660628,0.3,
2025-11-24T11:20:42.669361,1.6500000000000001,
2025-11-24T11:21:06.673492,0.8,
2025-11-24T11:23:30.921827,0.15,
2025-11-24T11:23:54.960973,0.25,
2025-11-24T11:24:43.012651,0.2,
2025-11-24T11:25:07.024682,0.25,
2025-11-24T11:25:31.077016,1.0,rain:0.8339340686798096 
2025-11-24T11:25:55.124370,0.55,
2025-11-24T11:26:19.145870,0.25,
2025-11-24T11:26:43.152087,0.5,
2025-11-24T11:27:07.190179,2.5,
2025-11-24T11:27:31.215262,1.2,rain:0.8810739517211914 
2025-11-24T11:27:55.236731,0.55,rain:0.8642221093177795 
2025-11-24T11:29:31.397554,0.05,
2025-11-24T11:29:55.416172,0.15,
2025-11-24T11:30:19.450528,1.4000000000000001,
2025-11-24T11:31:08.869693,0.75,
2025-11-24T11:31:33.533946,0.25,
2025-11-24T11:31:57.624367,0.3,
2025-11-24T11:32:21.662234,0.05,
2025-11-24T11:32:45.685692,0.15,
2025-11-24T11:33:09.704699,0.3,
2025-11-24T11:34:21.771377,0.05,
2025-11-24T11:34:45.792709,0.15,
2025-11-24T11:35:09.803197,1.0,
2025-11-24T11:35:33.820402,0.05,
2025-11-24T11:36:46.493624,0.05,
2025-11-24T11:37:11.218530,0.5,
2025-11-24T11:37:35.251626,0.2,
2025-11-24T11:37:59.256376,0.2,
2025-11-24T11:38:23.290148,0.3,
2025-11-24T11:38:47.317118,0.5,
2025-11-24T11:39:35.363520,0.44999999999999996,
2025-11-24T11:39:59.389327,0.05,
2025-11-24T11:40:23.404265,0.3,
2025-11-24T11:40:47.412781,0.35000000000000003,
2025-11-24T11:46:23.729759,0.15,
2025-11-24T11:47:11.878053,0.25,no_rain:0.8516108393669128 
2025-11-24T11:47:35.967981,0.15,no_rain:0.7461283206939697 
2025-11-24T11:48:00.028049,0.15,
2025-11-24T11:48:48.113659,0.15,no_rain:0.7219598889350891 
2025-11-24T11:50:24.303925,0.8500000000000001,
2025-11-24T11:50:48.337431,0.05,
2025-11-24T11:51:12.390185,0.35000000000000003,
