Time,Number of drops per frame,Face in frame
2025-10-19T17:30:48.805506,13,Yes
2025-10-19T17:30:48.894073,5,Yes
2025-10-19T17:30:48.985635,4,Yes
2025-10-19T17:30:49.082780,6,Yes
2025-10-19T17:30:49.181831,3,Yes
2025-10-19T17:30:49.290114,7,Yes
2025-10-19T17:30:49.392916,6,Yes
2025-10-19T17:30:49.497769,3,Yes
2025-10-19T17:30:49.602190,4,Yes
2025-10-19T17:30:49.711940,2,Yes
2025-10-19T17:30:49.824053,4,Yes
2025-10-19T17:30:49.936113,4,Yes
2025-10-19T17:30:50.042002,4,Yes
2025-10-19T17:30:50.146342,4,Yes
2025-10-19T17:30:50.254912,2,Yes
2025-10-19T17:30:50.376584,4,Yes
2025-10-19T17:30:50.489844,8,Yes
2025-10-19T17:30:50.609835,3,Yes
2025-10-19T17:30:50.728315,3,Yes
2025-10-19T17:30:50.849733,4,Yes
2025-10-19T17:30:50.969365,12,Yes
2025-10-19T17:30:51.089554,9,Yes
2025-10-19T17:30:51.208428,5,Yes
2025-10-19T17:30:51.323294,4,Yes
2025-10-19T17:30:51.445730,1,Yes
2025-10-19T17:30:51.557023,2,Yes
2025-10-19T17:30:51.672148,6,Yes
2025-10-19T17:30:51.791205,5,Yes
2025-10-19T17:30:51.919990,3,Yes
2025-10-19T17:30:52.038742,5,Yes
2025-10-19T17:30:52.154838,5,Yes
2025-10-19T17:30:52.267573,9,Yes
2025-10-19T17:30:52.375176,8,Yes
2025-10-19T17:30:52.486716,4,Yes
2025-10-19T17:30:52.598024,1,Yes
2025-10-19T17:30:52.707405,2,Yes
2025-10-19T17:30:52.812229,2,Yes
2025-10-19T17:30:52.927438,6,Yes
2025-10-19T17:30:53.044646,4,Yes
2025-10-19T17:30:53.159253,4,Yes
2025-10-19T17:30:53.274871,6,Yes
2025-10-19T17:30:53.392479,6,Yes
2025-10-19T17:30:53.533301,6,Yes
2025-10-19T17:30:53.673603,8,Yes
2025-10-19T17:30:53.796081,3,Yes
2025-10-19T17:30:53.919459,7,Yes
2025-10-19T17:30:54.044850,7,Yes
2025-10-19T17:30:54.166948,12,Yes
2025-10-19T17:30:54.281709,8,Yes
2025-10-19T17:30:54.405241,4,Yes
2025-10-19T17:30:54.521615,3,Yes
2025-10-19T17:30:54.645245,3,Yes
2025-10-19T17:30:54.764485,8,Yes
2025-10-19T17:30:54.876179,2,Yes
2025-10-19T17:30:54.992816,4,Yes
2025-10-19T17:30:55.106117,3,Yes
2025-10-19T17:30:55.216524,3,Yes
2025-10-19T17:30:55.323775,5,Yes
2025-10-19T17:30:55.422953,4,Yes
2025-10-19T17:30:55.521638,4,Yes
2025-10-19T17:30:55.636180,4,Yes
2025-10-19T17:30:55.783841,3,Yes
2025-10-19T17:30:55.898208,4,Yes
2025-10-19T17:30:56.030696,4,Yes
2025-10-19T17:30:56.163290,6,Yes
2025-10-19T17:30:56.295913,3,Yes
2025-10-19T17:30:56.431565,5,Yes
2025-10-19T17:30:56.563480,5,Yes
2025-10-19T17:30:56.696318,4,Yes
2025-10-19T17:30:56.830481,6,Yes
2025-10-19T17:30:56.933663,5,Yes
2025-10-19T17:30:57.040292,4,Yes
2025-10-19T17:30:57.142445,4,Yes
2025-10-19T17:30:57.242467,6,Yes
2025-10-19T17:30:57.343104,3,Yes
2025-10-19T17:30:57.444775,5,Yes
2025-10-19T17:30:57.545457,6,Yes
2025-10-19T17:30:57.644238,5,Yes
2025-10-19T17:30:57.744593,6,Yes
2025-10-19T17:30:57.843774,5,Yes
2025-10-19T17:30:57.945613,4,Yes
2025-10-19T17:30:58.037701,7,Yes
2025-10-19T17:30:58.133728,3,Yes
2025-10-19T17:30:58.217870,3,no
2025-10-19T17:30:58.295565,5,no
2025-10-19T17:30:58.380228,3,no
2025-10-19T17:30:58.471988,1,no
2025-10-19T17:30:58.579464,2,no
2025-10-19T17:30:58.685705,2,no
2025-10-19T17:30:58.774745,3,no
2025-10-19T17:30:58.883081,2,no
2025-10-19T17:30:58.983579,2,no
2025-10-19T17:30:59.133176,3,no
2025-10-19T17:30:59.261094,5,Yes
2025-10-19T17:30:59.416284,5,Yes
2025-10-19T17:30:59.544413,7,Yes
2025-10-19T17:30:59.679868,3,Yes
2025-10-19T17:30:59.806431,4,Yes
2025-10-19T17:30:59.943159,5,Yes
2025-10-19T17:31:00.076878,2,Yes
2025-10-19T17:31:00.207231,4,Yes
2025-10-19T17:31:00.340245,4,Yes
2025-10-19T17:31:00.470320,8,Yes
2025-10-19T17:31:00.606105,6,Yes
2025-10-19T17:31:00.736063,5,Yes
2025-10-19T17:31:00.868083,8,Yes
2025-10-19T17:31:00.976090,6,Yes
2025-10-19T17:31:01.075968,6,Yes
2025-10-19T17:31:01.176599,4,Yes
2025-10-19T17:31:01.281628,2,Yes
2025-10-19T17:31:01.489112,2,Yes
2025-10-19T17:31:01.588393,2,Yes
2025-10-19T17:31:01.888357,2,Yes
2025-10-19T17:31:01.988483,4,Yes
2025-10-19T17:31:02.090385,3,Yes
2025-10-19T17:31:02.190661,3,Yes
2025-10-19T17:31:02.288477,4,Yes
2025-10-19T17:31:02.391215,3,Yes
2025-10-19T17:31:02.494996,3,Yes
2025-10-19T17:31:02.588055,3,Yes
2025-10-19T17:31:02.677502,4,Yes
2025-10-19T17:31:02.770197,5,Yes
2025-10-19T17:31:02.876501,5,Yes
2025-10-19T17:31:02.977235,2,Yes
2025-10-19T17:31:03.073119,5,Yes
2025-10-19T17:31:03.180158,5,Yes
2025-10-19T17:31:03.319851,5,Yes
2025-10-19T17:31:03.450027,2,Yes
2025-10-19T17:31:03.599854,5,no
2025-10-19T17:31:03.716333,3,no
2025-10-19T17:31:03.850651,3,no
2025-10-19T17:31:03.988187,2,no
2025-10-19T17:31:04.123470,2,Yes
2025-10-19T17:31:04.248256,3,Yes
2025-10-19T17:31:04.384342,2,Yes
2025-10-19T17:31:04.522635,3,Yes
2025-10-19T17:31:04.662800,3,Yes
2025-10-19T17:31:04.799966,4,Yes
2025-10-19T17:31:04.932743,2,Yes
2025-10-19T17:31:05.062841,3,Yes
2025-10-19T17:31:05.195518,2,Yes
2025-10-19T17:31:05.394609,3,Yes
2025-10-19T17:31:05.596539,2,Yes
2025-10-19T17:31:05.794104,4,Yes
2025-10-19T17:31:05.986494,4,Yes
2025-10-19T17:31:06.212698,4,Yes
2025-10-19T17:31:06.423568,4,Yes
2025-10-19T17:31:06.621471,7,Yes
2025-10-19T17:31:06.781876,8,Yes
2025-10-19T17:31:06.977596,5,Yes
2025-10-19T17:31:07.173116,6,Yes
2025-10-19T17:31:07.384093,9,Yes
2025-10-19T17:31:07.569579,7,Yes
2025-10-19T17:31:07.780296,5,Yes
2025-10-19T17:31:07.979983,6,Yes
2025-10-19T17:31:08.174659,5,Yes
2025-10-19T17:31:08.370580,6,Yes
2025-10-19T17:31:08.566774,9,Yes
2025-10-19T17:31:08.768847,5,Yes
2025-10-19T17:31:08.971956,7,Yes
2025-10-19T17:31:09.164121,4,Yes
2025-10-19T17:31:09.364513,1,Yes
2025-10-19T17:31:09.567221,6,Yes
2025-10-19T17:31:09.696267,5,Yes
2025-10-19T17:31:09.826317,3,Yes
2025-10-19T17:31:09.957574,4,Yes
2025-10-19T17:31:10.085744,10,Yes
2025-10-19T17:31:10.219348,5,Yes
2025-10-19T17:31:10.352124,4,Yes
2025-10-19T17:31:10.480178,5,Yes
2025-10-19T17:31:10.624842,4,Yes
2025-10-19T17:31:10.755185,3,Yes
2025-10-19T17:31:10.891020,3,Yes
2025-10-19T17:31:11.022526,6,Yes
2025-10-19T17:31:11.144368,8,Yes
2025-10-19T17:31:11.272963,3,Yes
2025-10-19T17:31:11.405408,6,Yes
2025-10-19T17:31:11.534872,7,Yes
2025-10-19T17:31:11.664789,9,Yes
2025-10-19T17:31:11.801354,7,Yes
2025-10-19T17:31:11.932269,9,Yes
2025-10-19T17:31:12.067544,7,Yes
2025-10-19T17:31:12.200527,13,Yes
2025-10-19T17:31:12.334197,8,Yes
2025-10-19T17:31:12.466667,10,Yes
2025-10-19T17:31:12.663053,9,Yes
2025-10-19T17:31:12.869886,8,Yes
2025-10-19T17:31:13.073759,8,Yes
2025-10-19T17:31:13.267635,7,Yes
2025-10-19T17:31:13.467678,4,Yes
2025-10-19T17:31:13.663537,4,Yes
2025-10-19T17:31:13.865647,4,Yes
2025-10-19T17:31:14.063055,8,Yes
2025-10-19T17:31:14.259037,5,Yes
2025-10-19T17:31:14.469497,7,Yes
2025-10-19T17:31:14.650121,3,Yes
2025-10-19T17:31:14.841287,4,Yes
2025-10-19T17:31:14.968346,4,Yes
2025-10-19T17:31:15.095850,2,Yes
2025-10-19T17:31:15.230744,3,Yes
2025-10-19T17:31:15.368822,2,Yes
2025-10-19T17:31:15.500267,2,Yes
2025-10-19T17:31:15.661364,1,Yes
2025-10-19T17:31:15.809839,1,Yes
2025-10-19T17:31:15.940972,2,Yes
2025-10-19T17:31:16.077139,3,Yes
2025-10-19T17:31:16.192749,5,Yes
2025-10-19T17:31:16.298752,3,Yes
2025-10-19T17:31:16.421632,4,Yes
2025-10-19T17:31:16.567138,4,Yes
2025-10-19T17:31:16.688614,5,Yes
2025-10-19T17:31:16.820835,3,Yes
2025-10-19T17:31:16.960812,4,Yes
2025-10-19T17:31:17.099025,4,Yes
2025-10-19T17:31:17.228306,7,Yes
2025-10-19T17:31:17.357965,6,Yes
2025-10-19T17:31:17.483251,10,Yes
2025-10-19T17:31:17.609790,8,Yes
2025-10-19T17:31:17.740153,10,Yes
2025-10-19T17:31:17.876613,7,Yes
2025-10-19T17:31:18.010129,4,Yes
2025-10-19T17:31:18.142077,3,Yes
2025-10-19T17:31:18.272152,4,Yes
2025-10-19T17:31:18.413507,5,Yes
2025-10-19T17:31:18.556246,2,Yes
2025-10-19T17:31:18.675588,4,Yes
2025-10-19T17:31:18.805133,6,Yes
2025-10-19T17:31:18.929292,4,Yes
2025-10-19T17:31:19.061953,5,Yes
2025-10-19T17:31:19.206423,4,Yes
2025-10-19T17:31:19.332433,3,Yes
2025-10-19T17:31:19.473566,8,Yes
2025-10-19T17:31:19.617696,8,Yes
2025-10-19T17:31:19.737298,7,Yes
2025-10-19T17:31:19.871938,4,Yes
2025-10-19T17:31:20.005736,5,Yes
2025-10-19T17:31:20.134090,4,Yes
2025-10-19T17:31:20.272956,5,Yes
2025-10-19T17:31:20.394338,5,Yes
2025-10-19T17:31:20.531392,4,Yes
2025-10-19T17:31:20.657529,3,Yes
2025-10-19T17:31:20.785550,4,Yes
2025-10-19T17:31:20.918072,4,Yes
2025-10-19T17:31:21.048164,4,Yes
2025-10-19T17:31:21.202097,6,Yes
2025-10-19T17:31:21.320558,2,Yes
2025-10-19T17:31:21.438171,2,Yes
2025-10-19T17:31:21.563855,2,Yes
2025-10-19T17:31:21.699516,1,Yes
2025-10-19T17:31:21.834321,6,Yes
