Time,Number of drops per frame,Face in frame
2025-10-19T17:30:44.215471,2,Yes
2025-10-19T17:30:44.591247,5,Yes
2025-10-19T17:30:44.684234,4,Yes
2025-10-19T17:30:44.769950,4,Yes
2025-10-19T17:30:44.854545,4,Yes
2025-10-19T17:30:44.947992,3,Yes
2025-10-19T17:30:45.038735,4,Yes
2025-10-19T17:30:45.146053,6,Yes
2025-10-19T17:30:45.236387,7,Yes
2025-10-19T17:30:45.326957,3,Yes
2025-10-19T17:30:45.416232,5,Yes
2025-10-19T17:30:45.510475,10,Yes
2025-10-19T17:30:45.601001,7,Yes
2025-10-19T17:30:45.692530,4,Yes
2025-10-19T17:30:45.782846,4,no
2025-10-19T17:30:45.875674,2,Yes
2025-10-19T17:30:45.968422,3,Yes
2025-10-19T17:30:46.059080,3,Yes
2025-10-19T17:30:46.153234,4,Yes
2025-10-19T17:30:46.242405,5,no
2025-10-19T17:30:46.333747,5,no
2025-10-19T17:30:46.420623,6,no
2025-10-19T17:30:46.507026,3,Yes
2025-10-19T17:30:46.596833,4,Yes
2025-10-19T17:30:46.681392,5,Yes
2025-10-19T17:30:46.766601,5,Yes
2025-10-19T17:30:46.852378,4,Yes
2025-10-19T17:30:46.934186,7,Yes
2025-10-19T17:30:47.015703,4,Yes
2025-10-19T17:30:47.097799,5,no
2025-10-19T17:30:47.185770,4,Yes
2025-10-19T17:30:47.269461,4,no
2025-10-19T17:30:47.354206,3,Yes
2025-10-19T17:30:47.436492,2,Yes
2025-10-19T17:30:47.520135,5,Yes
2025-10-19T17:30:47.606484,2,Yes
2025-10-19T17:30:47.691922,2,Yes
2025-10-19T17:30:47.777697,2,Yes
2025-10-19T17:30:47.865858,4,Yes
2025-10-19T17:30:47.954272,3,Yes
2025-10-19T17:30:48.050921,2,Yes
2025-10-19T17:30:48.141462,2,Yes
2025-10-19T17:30:48.241269,1,no
2025-10-19T17:30:48.332720,2,Yes
2025-10-19T17:30:48.426306,3,Yes
2025-10-19T17:30:48.522951,6,Yes
2025-10-19T17:30:48.618828,3,Yes
2025-10-19T17:30:48.713738,5,Yes
