Time,Number of drops per frame,Face in frame
2025-10-25T08:00:57.763167,1,Yes
2025-10-25T08:00:57.830423,2,Yes
2025-10-25T08:00:57.900003,2,Yes
2025-10-25T08:00:57.987943,3,no
2025-10-25T08:00:58.100062,5,no
2025-10-25T08:00:58.208993,2,no
2025-10-25T08:00:58.312169,3,no
2025-10-25T08:00:58.389838,2,no
2025-10-25T08:00:58.477270,1,no
2025-10-25T08:00:58.564441,2,Yes
2025-10-25T08:00:58.646147,3,Yes
2025-10-25T08:00:58.729771,3,Yes
2025-10-25T08:00:58.820482,2,Yes
2025-10-25T08:00:58.906677,1,Yes
2025-10-25T08:00:58.999677,3,Yes
2025-10-25T08:00:59.091367,1,Yes
2025-10-25T08:00:59.379630,1,Yes
2025-10-25T08:01:00.472722,3,no
2025-10-25T08:01:00.561136,4,no
2025-10-25T08:01:00.653858,3,no
2025-10-25T08:01:00.742599,1,no
2025-10-25T08:01:00.835062,1,Yes
2025-10-25T08:01:01.827105,1,no
2025-10-25T08:01:03.495766,3,no
2025-10-25T08:01:03.579869,4,no
2025-10-25T08:01:03.655542,5,no
2025-10-25T08:01:03.741397,7,Yes
2025-10-25T08:01:03.843187,3,Yes
2025-10-25T08:01:03.969201,2,Yes
2025-10-25T08:01:04.054082,2,Yes
2025-10-25T08:01:04.169042,1,Yes
2025-10-25T08:01:04.395114,1,Yes
2025-10-25T08:01:04.498699,1,Yes
2025-10-25T08:01:05.400311,4,no
2025-10-25T08:01:05.498189,2,no
2025-10-25T08:01:05.595291,2,no
2025-10-25T08:01:05.700242,3,no
2025-10-25T08:01:05.770345,1,no
2025-10-25T08:01:06.759326,1,no
2025-10-25T08:01:06.862219,3,no
2025-10-25T08:01:06.956863,5,no
2025-10-25T08:01:07.058971,2,no
2025-10-25T08:01:07.142176,1,no
2025-10-25T08:01:07.224188,2,no
2025-10-25T08:01:08.130851,1,no
2025-10-25T08:01:08.217670,1,no
2025-10-25T08:01:12.065111,1,no
2025-10-25T08:01:12.165547,1,no
2025-10-25T08:01:12.253417,1,Yes
2025-10-25T08:01:12.335510,1,Yes
2025-10-25T08:01:12.421299,1,Yes
2025-10-25T08:01:12.507291,1,Yes
2025-10-25T08:01:12.596872,1,Yes
2025-10-25T08:01:12.767883,2,Yes
2025-10-25T08:01:12.848899,4,Yes
2025-10-25T08:01:12.926246,4,Yes
2025-10-25T08:01:13.005334,2,Yes
2025-10-25T08:01:13.085512,3,Yes
2025-10-25T08:01:13.175715,3,Yes
