Time,Number of drops per frame,rain on ground
2025-11-07T00:00:06.458377,0.75,rain
2025-11-07T00:00:19.433731,0.81,rain
2025-11-07T00:00:32.132914,0.81,rain
2025-11-07T00:00:45.024169,0.81,rain
2025-11-07T00:00:57.650152,0.81,rain
2025-11-07T00:01:10.345214,0.81,rain
2025-11-07T00:01:23.109688,0.81,rain
2025-11-07T00:01:35.803817,0.81,rain
2025-11-07T00:01:48.514030,0.81,rain
2025-11-07T00:02:01.175951,0.81,rain
2025-11-07T00:02:13.922315,0.81,rain
2025-11-07T00:02:26.694791,0.81,rain
2025-11-07T00:02:39.296808,0.81,rain
2025-11-07T00:02:51.912420,0.81,rain
2025-11-07T00:03:04.581600,0.81,rain
2025-11-07T00:03:17.188940,0.81,rain
2025-11-07T00:03:29.858655,0.81,rain
2025-11-07T00:03:42.676135,0.81,rain
2025-11-07T00:03:55.532860,0.81,rain
2025-11-07T00:04:08.197000,0.81,rain
2025-11-07T00:04:20.940038,0.81,rain
2025-11-07T00:04:33.684839,0.81,rain
2025-11-07T00:04:46.454721,0.81,rain
2025-11-07T00:04:59.159847,0.81,rain
2025-11-07T00:05:11.878737,0.81,rain
2025-11-07T00:05:24.714128,0.81,rain
2025-11-07T00:05:37.449054,0.81,rain
2025-11-07T00:05:50.361684,0.81,rain
2025-11-07T00:06:03.371164,0.81,rain
2025-11-07T00:06:16.098843,0.81,rain
2025-11-07T00:06:28.822259,0.81,rain
2025-11-07T00:06:41.625061,0.81,rain
2025-11-07T00:06:54.243570,0.81,rain
2025-11-07T00:07:07.100490,0.81,rain
2025-11-07T00:07:19.838358,0.81,rain
2025-11-07T00:07:32.607326,0.81,rain
2025-11-07T00:07:45.376070,0.81,rain
2025-11-07T00:07:58.130195,0.81,rain
2025-11-07T00:08:10.834004,0.81,rain
2025-11-07T00:08:23.527562,0.81,rain
2025-11-07T00:08:36.414643,0.81,rain
2025-11-07T00:08:49.113272,0.81,rain
2025-11-07T00:09:01.842969,0.81,rain
2025-11-07T00:09:14.563912,0.81,rain
2025-11-07T00:09:27.361989,0.81,rain
2025-11-07T00:09:40.042255,0.81,rain
2025-11-07T00:09:52.837219,0.81,rain
2025-11-07T00:10:05.689871,0.81,rain
2025-11-07T00:10:18.354086,0.81,rain
2025-11-07T00:10:31.097663,0.81,rain
2025-11-07T00:10:44.070589,0.81,rain
2025-11-07T00:10:56.819574,0.81,rain
2025-11-07T00:11:09.888708,0.81,rain
2025-11-07T00:11:22.658923,0.81,rain
2025-11-07T00:11:35.259493,0.81,rain
2025-11-07T00:11:48.328297,0.81,rain
2025-11-07T00:12:01.087632,0.81,rain
2025-11-07T00:12:13.787094,0.81,rain
2025-11-07T00:12:26.497904,0.81,rain
2025-11-07T00:12:39.353911,0.81,rain
2025-11-07T00:12:52.018503,0.81,rain
2025-11-07T00:13:04.716497,0.81,rain
2025-11-07T00:13:17.440497,0.81,rain
2025-11-07T00:13:30.167971,0.81,rain
2025-11-07T00:13:42.959205,0.81,rain
2025-11-07T00:13:55.590304,0.81,rain
2025-11-07T00:14:08.345374,0.81,rain
2025-11-07T00:14:21.094950,0.81,rain
2025-11-07T00:14:33.958158,0.81,rain
2025-11-07T00:14:46.691169,0.81,rain
2025-11-07T00:14:59.424920,0.82,rain
2025-11-07T00:15:12.398546,0.82,rain
2025-11-07T00:15:25.468609,0.82,rain
2025-11-07T00:15:38.472086,0.82,rain
2025-11-07T00:15:51.667570,0.82,rain
2025-11-07T00:16:04.636537,0.82,rain
2025-11-07T00:16:17.697731,0.82,rain
2025-11-07T00:16:30.781013,0.82,rain
2025-11-07T00:16:43.722535,0.82,rain
2025-11-07T00:16:56.807143,0.82,rain
2025-11-07T00:17:09.862016,0.82,rain
2025-11-07T00:17:22.911277,0.82,rain
