Time,Number of drops per frame,rain on ground
2025-11-04T06:37:08.841091,2,rain
2025-11-04T06:37:09.156440,1,rain
2025-11-04T06:37:09.270947,1,rain
2025-11-04T06:37:09.387303,1,rain
2025-11-04T06:44:50.006298,1,rain
2025-11-04T06:44:50.144850,5,rain
2025-11-04T06:45:48.603250,2,rain
2025-11-04T06:46:43.283969,1,rain
2025-11-04T06:48:34.796556,2,rain
2025-11-04T06:49:35.861383,1,rain
2025-11-04T06:50:38.185045,1,rain
2025-11-04T06:51:34.053042,1,rain
2025-11-04T06:52:44.763781,1,rain
2025-11-04T06:53:43.606513,1,rain
2025-11-04T06:54:52.042592,1,rain
2025-11-04T06:55:22.693393,1,rain
2025-11-04T06:56:37.073181,1,rain
