Time,Number of drops per frame,rain on ground
2025-11-16T00:00:24.254576,0.25,rain:0.9924449324607849 
2025-11-16T03:00:24.522508,0.25,no_rain:0.9817360639572144 
2025-11-16T06:00:16.863025,0.25,no_rain:0.9849295020103455 
2025-11-16T07:00:12.738334,0.05,no_rain:0.9924390316009521 
2025-11-16T07:01:49.814286,0.05,no_rain:0.9932548403739929 
2025-11-16T07:03:50.950282,0.15,no_rain:0.9925894737243652 
2025-11-16T07:04:15.159090,0.05,no_rain:0.9924131035804749 
2025-11-16T07:04:39.369842,0.2,no_rain:0.9931831955909729 
2025-11-16T07:05:27.705788,0.05,no_rain:0.9927334785461426 
2025-11-16T07:08:17.089613,0.2,no_rain:0.9933316111564636 
2025-11-16T07:11:54.130522,0.15,no_rain:0.9934393763542175 
2025-11-16T07:13:06.395384,0.15,no_rain:0.9938540458679199 
2025-11-16T07:17:08.151987,0.35000000000000003,no_rain:0.9919141530990601 
2025-11-16T07:20:20.666903,0.05,no_rain:0.9940179586410522 
2025-11-16T07:21:32.838872,0.05,no_rain:0.9936823844909668 
2025-11-16T07:21:56.891492,0.2,no_rain:0.9932094216346741 
2025-11-16T07:28:45.466380,0.15,no_rain:0.9937024116516113 
2025-11-16T07:36:00.174820,0.15,no_rain:0.9929393529891968 
2025-11-16T07:38:25.549942,0.05,no_rain:0.9940703511238098 
2025-11-16T07:41:39.105835,0.2,no_rain:0.9932019114494324 
2025-11-16T07:42:28.229560,0.05,no_rain:0.9927270412445068 
2025-11-16T07:49:17.644972,0.05,no_rain:0.9907330274581909 
2025-11-16T07:50:05.796032,0.2,no_rain:0.9915959239006042 
2025-11-16T07:50:54.087579,0.05,no_rain:0.9914969801902771 
2025-11-16T07:52:06.344811,0.5,no_rain:0.9935868978500366 
2025-11-16T07:52:30.405354,0.05,no_rain:0.9930354952812195 
2025-11-16T07:52:54.474561,0.05,no_rain:0.993492066860199 
2025-11-16T07:54:06.641859,0.15,no_rain:0.9921637773513794 
2025-11-16T07:57:43.235602,0.35000000000000003,no_rain:0.9926774501800537 
2025-11-16T07:58:07.297496,0.44999999999999996,no_rain:0.993261992931366 
2025-11-16T07:58:31.326537,0.25,no_rain:0.9922796487808228 
2025-11-16T07:58:55.380696,0.05,no_rain:0.9937624335289001 
2025-11-16T07:59:19.430736,0.15,no_rain:0.9942755103111267 
2025-11-16T08:00:07.533439,0.75,no_rain:0.9933966398239136 
2025-11-16T08:00:55.695855,0.2,no_rain:0.9915916919708252 
2025-11-16T08:03:45.176137,0.2,no_rain:0.9910479187965393 
2025-11-16T08:05:46.298752,0.15,no_rain:0.9912059903144836 
2025-11-16T08:06:10.507957,0.44999999999999996,no_rain:0.9911540150642395 
2025-11-16T08:07:47.034200,0.05,no_rain:0.9920198321342468 
2025-11-16T08:08:35.394718,0.15,no_rain:0.9911137223243713 
2025-11-16T08:09:23.561905,0.05,no_rain:0.9909737706184387 
2025-11-16T08:10:11.725669,0.05,no_rain:0.9909804463386536 
2025-11-16T08:10:35.810989,0.3,no_rain:0.9908527731895447 
2025-11-16T08:10:59.890752,0.44999999999999996,no_rain:0.9906097054481506 
2025-11-16T08:11:23.959391,0.05,no_rain:0.9904246926307678 
2025-11-16T08:12:12.040945,0.05,no_rain:0.9908112287521362 
2025-11-16T08:12:36.118727,0.44999999999999996,no_rain:0.9908668994903564 
2025-11-16T08:13:00.198664,0.15,no_rain:0.9912535548210144 
2025-11-16T08:13:24.265075,0.05,no_rain:0.9914171099662781 
2025-11-16T08:13:48.356044,0.05,no_rain:0.9911723732948303 
2025-11-16T08:14:12.425503,2.25,no_rain:0.9914597272872925 
2025-11-16T08:14:36.499541,0.35000000000000003,no_rain:0.9915304183959961 
2025-11-16T08:15:00.561778,0.05,no_rain:0.9917397499084473 
2025-11-16T08:15:24.614931,0.15,no_rain:0.991584062576294 
2025-11-16T08:17:00.903085,0.15,no_rain:0.9911752939224243 
2025-11-16T08:19:01.317860,0.15,no_rain:0.9922979474067688 
2025-11-16T08:19:25.389386,0.05,no_rain:0.9910498857498169 
2025-11-16T08:19:49.472555,0.44999999999999996,no_rain:0.9876883625984192 
2025-11-16T08:20:13.578025,0.6,no_rain:0.9904522895812988 
2025-11-16T08:20:37.633245,1.7999999999999998,no_rain:0.9905228018760681 
2025-11-16T08:21:01.747071,0.5,no_rain:0.9900894165039062 
2025-11-16T08:21:25.878521,0.2,no_rain:0.9907564520835876 
2025-11-16T08:21:49.931872,0.2,no_rain:0.9903426170349121 
2025-11-16T08:22:14.014220,0.8500000000000001,no_rain:0.990522563457489 
2025-11-16T08:22:38.107385,0.05,no_rain:0.992031455039978 
2025-11-16T08:23:02.190135,0.35000000000000003,no_rain:0.9916817545890808 
2025-11-16T08:24:38.997251,0.5,no_rain:0.9911743402481079 
2025-11-16T08:25:03.118757,1.4000000000000001,no_rain:0.9915407299995422 
2025-11-16T08:25:27.203250,0.25,no_rain:0.9893788695335388 
2025-11-16T08:25:51.285468,0.55,no_rain:0.9906690120697021 
2025-11-16T08:26:15.378889,0.35000000000000003,no_rain:0.9907456636428833 
2025-11-16T08:26:39.482648,0.5,no_rain:0.9910274147987366 
2025-11-16T08:27:03.592704,0.05,no_rain:0.99029541015625 
2025-11-16T08:28:15.971585,0.05,no_rain:0.9910428524017334 
2025-11-16T08:28:40.106635,0.35000000000000003,no_rain:0.9906659722328186 
2025-11-16T08:29:28.223348,0.05,no_rain:0.9913961291313171 
2025-11-16T08:30:16.368202,1.05,no_rain:0.9906596541404724 
2025-11-16T08:30:40.441348,1.5,no_rain:0.9924127459526062 
2025-11-16T08:31:04.495511,0.2,no_rain:0.9917910099029541 
2025-11-16T08:31:28.572316,0.6,no_rain:0.9911972284317017 
2025-11-16T08:31:52.646595,0.6,no_rain:0.991211473941803 
2025-11-16T08:32:16.735831,1.05,no_rain:0.9920841455459595 
2025-11-16T08:32:40.811389,0.35000000000000003,no_rain:0.9924256801605225 
2025-11-16T08:33:28.955001,0.15,no_rain:0.9912772178649902 
2025-11-16T08:33:53.008625,0.35000000000000003,no_rain:0.9919049739837646 
2025-11-16T08:34:41.191162,0.15,no_rain:0.9914104342460632 
2025-11-16T08:36:17.441437,0.05,no_rain:0.991473913192749 
2025-11-16T08:36:41.519478,0.3,no_rain:0.9921876192092896 
2025-11-16T08:37:53.697433,0.5,no_rain:0.9913014769554138 
2025-11-16T08:38:17.782175,1.0,no_rain:0.9909538626670837 
2025-11-16T08:38:41.875794,0.44999999999999996,no_rain:0.9906852841377258 
2025-11-16T08:39:05.951007,0.05,no_rain:0.9914120435714722 
2025-11-16T08:39:30.062269,0.8,no_rain:0.99205082654953 
2025-11-16T08:39:54.176264,0.15,no_rain:0.9916943907737732 
2025-11-16T08:40:18.325158,1.0,no_rain:0.991796612739563 
2025-11-16T08:40:42.409591,0.25,no_rain:0.9914871454238892 
2025-11-16T08:41:30.578346,0.35000000000000003,no_rain:0.9920083284378052 
2025-11-16T08:41:54.653723,0.5,no_rain:0.9911003708839417 
2025-11-16T08:44:43.128100,0.2,no_rain:0.9908226728439331 
2025-11-16T08:45:07.186322,0.35000000000000003,no_rain:0.9921101927757263 
2025-11-16T08:45:31.259200,0.05,no_rain:0.9918183088302612 
2025-11-16T08:45:55.307060,0.05,no_rain:0.9918141961097717 
2025-11-16T08:46:19.394261,0.05,no_rain:0.9906008243560791 
2025-11-16T08:46:43.439144,0.2,no_rain:0.9907156229019165 
2025-11-16T08:47:07.501637,0.05,no_rain:0.9915749430656433 
2025-11-16T08:49:31.840190,0.05,no_rain:0.9915298223495483 
2025-11-16T08:49:55.907756,0.6,no_rain:0.9908491373062134 
2025-11-16T08:50:44.019374,0.3,no_rain:0.991214394569397 
2025-11-16T08:51:08.069942,0.25,no_rain:0.9912954568862915 
2025-11-16T08:53:32.448240,1.4000000000000001,no_rain:0.9922653436660767 
2025-11-16T08:53:56.515835,0.7000000000000001,no_rain:0.9912195801734924 
2025-11-16T08:54:20.581107,0.8,no_rain:0.9905244708061218 
2025-11-16T08:54:44.670078,0.05,no_rain:0.990750253200531 
2025-11-16T08:55:32.883839,0.05,no_rain:0.991472601890564 
2025-11-16T08:56:21.012252,0.15,no_rain:0.9914518594741821 
2025-11-16T08:56:45.079661,0.25,no_rain:0.9908051490783691 
2025-11-16T08:57:09.123531,0.2,no_rain:0.9915105700492859 
2025-11-16T08:57:33.214371,0.15,no_rain:0.9915657043457031 
2025-11-16T08:57:57.229878,0.15,no_rain:0.9918871521949768 
2025-11-16T08:58:21.334890,0.5,no_rain:0.9915731549263 
2025-11-16T09:02:46.589068,0.15,no_rain:0.9909051656723022 
2025-11-16T09:03:34.839472,0.05,no_rain:0.9923022985458374 
2025-11-16T09:03:58.893982,1.45,no_rain:0.9912096261978149 
2025-11-16T09:04:22.949830,0.5,no_rain:0.9905692338943481 
2025-11-16T09:05:11.081776,0.55,no_rain:0.9920716881752014 
2025-11-16T09:05:35.154086,0.75,no_rain:0.9917516112327576 
2025-11-16T09:06:47.324710,0.25,no_rain:0.9917580485343933 
2025-11-16T09:07:35.453718,0.3,no_rain:0.9895325899124146 
2025-11-16T09:07:59.508103,0.2,no_rain:0.9914311766624451 
2025-11-16T09:08:23.581943,0.55,no_rain:0.9903297424316406 
2025-11-16T09:08:47.648464,0.15,no_rain:0.9908658862113953 
2025-11-16T09:09:35.784011,0.05,no_rain:0.991788923740387 
2025-11-16T09:09:59.844630,0.15,no_rain:0.9919701218605042 
2025-11-16T09:10:23.902566,0.7000000000000001,no_rain:0.9917013049125671 
2025-11-16T09:10:48.005981,0.8,no_rain:0.9921665191650391 
2025-11-16T09:11:12.022205,0.8,no_rain:0.9913995265960693 
2025-11-16T09:11:36.094065,2.2,no_rain:0.991084098815918 
2025-11-16T09:12:00.265182,1.4000000000000001,no_rain:0.9906558394432068 
2025-11-16T09:12:24.312561,0.7000000000000001,no_rain:0.9904594421386719 
2025-11-16T09:12:48.375742,1.0,no_rain:0.9918781518936157 
2025-11-16T09:13:12.426711,0.15,no_rain:0.9917471408843994 
