Time,Number of drops per frame,rain on ground
2025-11-06T06:46:50.399,0.04,rain
2025-11-06T06:51:50.211,0.01,rain
2025-11-06T06:54:43.744,0.02,rain
2025-11-06T06:56:47.849,0.03,rain
2025-11-06T07:00:33.071,0.01,rain
2025-11-06T07:02:43.746,0.03,rain
2025-11-06T07:08:24.169,0.01,rain
2025-11-06T07:13:19.023,0.01,rain
2025-11-06T07:25:07.281,0.01,rain
2025-11-06T07:37:56.156,0.04,rain
2025-11-06T07:46:36.484,0.03,rain
2025-11-06T08:07:38.206,0.01,rain
2025-11-06T08:28:40.954,0.04,rain
2025-11-06T08:37:17.658,0.02,rain
2025-11-06T08:47:04.211,0.03,rain
2025-11-06T08:48:14.345,0.02,rain
2025-11-06T08:50:33.720,0.02,rain
2025-11-06T08:51:08.726,0.06,rain
2025-11-06T08:51:20.366,0.02,rain
2025-11-06T08:53:29.296,0.07,rain
2025-11-06T08:53:40.998,0.01,rain
2025-11-06T08:54:51.446,0.01,rain
2025-11-06T08:56:00.970,0.02,rain
2025-11-06T09:04:19.174,0.02,rain
2025-11-06T09:07:26.720,0.01,rain
2025-11-06T09:08:23.052,0.04,rain
2025-11-06T09:08:34.309,0.06,rain
2025-11-06T09:08:56.601,0.06,rain
2025-11-06T09:16:20.609,0.09,rain
2025-11-06T09:17:42.236,0.03,rain
2025-11-06T09:17:53.879,0.06,rain
2025-11-06T09:18:40.028,0.05,rain
2025-11-06T09:19:38.189,0.07,rain
2025-11-06T09:21:07.006,0.03,rain
2025-11-06T09:22:15.887,0.07,rain
2025-11-06T09:23:15.346,0.11,rain
2025-11-06T09:24:48.926,0.09,rain
2025-11-06T09:25:12.626,0.02,rain
2025-11-06T09:25:24.447,0.01,rain
2025-11-06T09:25:48.345,0.01,rain
2025-11-06T09:26:11.455,0.05,rain
2025-11-06T09:26:53.877,0.03,rain
2025-11-06T09:27:04.861,0.03,rain
2025-11-06T09:28:33.921,0.04,rain
2025-11-06T09:28:45.808,0.01,rain
2025-11-06T09:30:35.677,0.01,rain
2025-11-06T09:31:35.320,0.02,rain
2025-11-06T09:32:22.533,0.01,rain
2025-11-06T09:32:34.114,0.02,rain
2025-11-06T09:32:57.709,0.04,rain
2025-11-06T09:33:44.773,0.04,rain
2025-11-06T09:33:56.851,0.05,rain
2025-11-06T09:34:21.210,0.02,rain
2025-11-06T09:34:33.297,0.13,rain
2025-11-06T09:34:45.321,0.01,rain
2025-11-06T09:35:09.173,0.03,rain
2025-11-06T09:36:05.552,0.01,rain
2025-11-06T09:37:20.932,0.05,rain
2025-11-06T09:37:33.590,0.01,rain
2025-11-06T09:39:10.908,0.09,rain
2025-11-06T09:40:26.008,0.06,rain
2025-11-06T09:40:38.152,0.07,rain
2025-11-06T09:40:50.212,0.03,rain
2025-11-06T09:42:16.074,0.01,rain
2025-11-06T09:45:07.046,0.08,rain
2025-11-06T09:45:32.290,0.04,rain
2025-11-06T09:45:44.736,0.07,rain
2025-11-06T09:45:57.193,0.02,rain
2025-11-06T09:46:09.741,0.01,rain
2025-11-06T09:47:13.157,0.01,rain
2025-11-06T09:47:51.125,0.02,rain
2025-11-06T09:48:16.640,0.02,rain
2025-11-06T09:48:54.358,0.04,rain
2025-11-06T09:50:07.203,0.06,rain
2025-11-06T09:52:34.296,0.06,rain
2025-11-06T09:54:52.626,0.11,rain
2025-11-06T09:55:05.342,0.05,rain
2025-11-06T09:55:16.934,0.22,rain
2025-11-06T09:55:28.709,0.06,rain
2025-11-06T09:56:03.851,0.69,rain
2025-11-06T09:56:14.625,0.21,rain
2025-11-06T09:56:26.353,0.11,rain
2025-11-06T09:56:38.096,0.34,rain
2025-11-06T09:56:49.830,0.98,rain
2025-11-06T09:57:01.228,0.33,rain
2025-11-06T09:57:11.740,0.03,rain
2025-11-06T09:57:23.675,0.11,rain
2025-11-06T09:57:35.483,0.07,rain
2025-11-06T09:58:25.530,0.03,rain
2025-11-06T09:58:38.384,0.02,rain
2025-11-06T09:58:51.160,0.16,rain
2025-11-06T09:59:03.970,0.11,rain
2025-11-06T09:59:16.625,0.12,rain
2025-11-06T09:59:29.349,0.05,rain
2025-11-06T09:59:53.752,0.01,rain
2025-11-06T10:00:55.583,0.02,rain
2025-11-06T10:02:23.351,0.05,rain
2025-11-06T10:02:34.775,0.01,rain
2025-11-06T10:03:10.830,0.02,rain
2025-11-06T10:03:24.062,0.09,rain
2025-11-06T10:03:37.164,0.01,rain
2025-11-06T10:03:50.103,0.05,rain
2025-11-06T10:05:42.691,0.02,rain
2025-11-06T10:06:07.099,0.08,rain
2025-11-06T10:06:44.917,0.03,rain
2025-11-06T10:09:01.976,0.02,rain
2025-11-06T10:10:14.941,0.04,rain
2025-11-06T10:10:27.053,0.04,rain
2025-11-06T10:10:52.120,0.04,rain
2025-11-06T10:13:47.259,0.09,rain
2025-11-06T10:13:59.376,0.16,rain
2025-11-06T10:14:11.711,0.01,rain
2025-11-06T10:14:24.275,0.43,rain
2025-11-06T10:14:36.973,0.22,rain
2025-11-06T10:17:55.470,0.05,rain
2025-11-06T10:18:07.900,0.08,rain
2025-11-06T10:19:24.049,0.03,rain
2025-11-06T10:21:42.615,0.12,rain
2025-11-06T10:21:54.692,0.07,rain
2025-11-06T10:27:25.434,0.01,rain
2025-11-06T10:32:43.823,0.01,rain
2025-11-06T10:38:48.976,0.01,rain
2025-11-06T10:39:00.314,0.03,rain
2025-11-06T10:39:11.747,0.01,rain
2025-11-06T10:39:46.199,0.03,rain
2025-11-06T10:39:57.645,0.72,rain
2025-11-06T10:40:09.238,0.58,rain
2025-11-06T10:40:20.884,0.01,rain
2025-11-06T10:41:07.923,0.04,rain
2025-11-06T10:41:19.511,0.15,rain
2025-11-06T10:41:31.269,0.23,rain
2025-11-06T10:41:43.583,0.06,rain
2025-11-06T10:41:55.209,0.04,rain
2025-11-06T10:42:07.421,0.32,rain
2025-11-06T10:42:19.152,0.05,rain
2025-11-06T10:42:42.852,0.06,rain
2025-11-06T10:47:57.358,0.05,rain
2025-11-06T10:48:21.370,0.05,rain
2025-11-06T10:48:33.860,0.01,rain
2025-11-06T10:51:46.160,0.02,rain
2025-11-06T10:53:01.043,0.01,rain
2025-11-06T10:55:46.315,0.05,rain
2025-11-06T10:55:58.790,0.06,rain
2025-11-06T10:56:11.148,0.10,rain
2025-11-06T10:56:35.653,0.03,rain
2025-11-06T10:58:10.159,0.06,rain
2025-11-06T11:00:26.818,0.06,rain
2025-11-06T11:03:13.546,0.03,rain
2025-11-06T11:05:15.448,0.03,rain
2025-11-06T11:07:43.973,0.05,rain
2025-11-06T11:13:09.413,0.05,rain
2025-11-06T11:17:41.364,0.09,rain
2025-11-06T11:24:14.115,0.04,rain
2025-11-06T11:25:11.026,0.01,rain
2025-11-06T11:25:21.671,0.08,rain
2025-11-06T11:25:32.641,0.16,rain
2025-11-06T11:25:55.097,0.17,rain
2025-11-06T11:26:06.293,0.13,rain
2025-11-06T11:26:17.397,0.13,rain
2025-11-06T11:26:28.468,0.09,rain
2025-11-06T11:26:40.216,0.03,rain
2025-11-06T11:26:51.773,0.07,rain
2025-11-06T11:27:03.345,0.03,rain
2025-11-06T11:30:00.656,0.01,rain
2025-11-06T11:30:12.877,0.06,rain
2025-11-06T11:32:05.871,0.13,rain
2025-11-06T11:32:28.322,0.01,rain
2025-11-06T11:33:12.288,0.01,rain
2025-11-06T11:33:23.037,0.03,rain
2025-11-06T11:33:34.871,0.05,rain
2025-11-06T11:35:49.644,0.01,rain
2025-11-06T11:36:11.435,0.07,rain
2025-11-06T11:36:22.288,0.17,rain
2025-11-06T11:36:33.170,0.08,rain
2025-11-06T11:36:55.246,0.03,rain
2025-11-06T11:37:06.757,0.01,rain
2025-11-06T11:37:42.149,0.10,rain
2025-11-06T11:37:53.780,0.07,rain
2025-11-06T11:40:55.256,0.11,rain
2025-11-06T11:41:52.850,0.06,rain
2025-11-06T11:42:15.015,0.01,rain
2025-11-06T11:43:00.051,0.02,rain
2025-11-06T11:43:45.128,0.02,rain
2025-11-06T11:44:19.354,0.07,rain
2025-11-06T11:44:30.620,0.02,rain
2025-11-06T11:44:42.059,0.07,rain
2025-11-06T11:44:53.216,0.14,rain
2025-11-06T11:45:15.737,0.04,rain
2025-11-06T11:45:27.142,0.25,rain
2025-11-06T11:45:39.163,0.02,rain
2025-11-06T11:45:50.952,0.04,rain
2025-11-06T11:46:02.317,0.07,rain
2025-11-06T11:49:26.729,0.07,rain
2025-11-06T11:49:38.050,0.06,rain
2025-11-06T11:49:49.648,0.05,rain
2025-11-06T11:50:36.192,0.42,rain
2025-11-06T11:50:47.848,0.09,rain
2025-11-06T11:50:59.391,0.07,rain
2025-11-06T11:51:10.983,0.22,rain
2025-11-06T11:51:22.696,0.22,rain
2025-11-06T11:51:46.319,0.08,rain
2025-11-06T11:51:58.464,0.15,rain
2025-11-06T11:52:10.583,0.01,rain
2025-11-06T11:52:22.897,0.32,rain
2025-11-06T11:52:34.687,0.39,rain
2025-11-06T11:52:46.727,0.25,rain
2025-11-06T11:52:58.515,0.73,rain
2025-11-06T11:53:10.093,0.18,rain
2025-11-06T11:53:21.715,0.11,rain
2025-11-06T11:53:33.500,0.07,rain
2025-11-06T11:53:45.405,0.10,rain
2025-11-06T11:53:57.475,0.03,rain
2025-11-06T11:54:08.962,0.02,rain
2025-11-06T11:54:20.684,0.50,rain
2025-11-06T11:54:32.009,0.08,rain
2025-11-06T11:54:43.594,0.01,rain
2025-11-06T11:54:55.215,0.06,rain
2025-11-06T11:55:06.708,0.35,rain
2025-11-06T11:55:18.293,0.12,rain
2025-11-06T11:55:29.873,0.07,rain
2025-11-06T11:55:41.488,0.05,rain
2025-11-06T11:55:52.772,0.14,rain
2025-11-06T11:56:04.340,0.37,rain
2025-11-06T11:56:16.090,0.15,rain
2025-11-06T11:56:27.285,0.13,rain
2025-11-06T11:56:38.882,0.11,rain
2025-11-06T11:56:50.331,0.14,rain
2025-11-06T11:57:01.769,0.37,rain
2025-11-06T11:57:13.149,0.33,rain
2025-11-06T11:57:24.481,0.22,rain
2025-11-06T11:57:35.984,0.09,rain
2025-11-06T11:57:47.406,0.07,rain
2025-11-06T11:58:10.574,0.02,rain
2025-11-06T11:58:22.052,0.13,rain
2025-11-06T11:58:33.316,0.17,rain
2025-11-06T11:59:42.415,0.01,rain
2025-11-06T12:00:20.689,0.01,rain
2025-11-06T12:00:32.328,0.08,rain
2025-11-06T12:00:43.950,0.02,rain
2025-11-06T12:00:55.556,0.24,rain
2025-11-06T12:01:07.304,0.35,rain
2025-11-06T12:01:18.811,0.23,rain
2025-11-06T12:01:30.445,0.23,rain
2025-11-06T12:01:41.890,0.09,rain
2025-11-06T12:02:04.833,0.05,rain
2025-11-06T12:02:16.677,0.04,rain
2025-11-06T12:03:57.753,0.02,rain
2025-11-06T12:04:09.714,0.07,rain
2025-11-06T12:04:21.563,0.05,rain
2025-11-06T12:04:33.150,0.08,rain
2025-11-06T12:04:44.588,0.23,rain
2025-11-06T12:04:56.216,0.12,rain
2025-11-06T12:05:07.650,0.08,rain
2025-11-06T12:05:19.106,0.04,rain
2025-11-06T12:05:41.897,0.02,rain
2025-11-06T12:06:16.294,0.02,rain
2025-11-06T12:06:27.626,0.12,rain
2025-11-06T12:07:01.624,0.01,rain
2025-11-06T12:07:36.689,0.17,rain
2025-11-06T12:07:48.302,0.06,rain
2025-11-06T12:08:00.013,0.01,rain
2025-11-06T12:08:11.895,0.11,rain
2025-11-06T12:08:23.789,0.01,rain
2025-11-06T12:08:35.606,0.01,rain
2025-11-06T12:09:22.623,0.12,rain
2025-11-06T12:09:34.431,0.01,rain
2025-11-06T12:09:46.466,0.01,rain
2025-11-06T12:09:58.473,0.11,rain
2025-11-06T12:10:10.572,0.55,rain
2025-11-06T12:10:22.323,0.02,rain
2025-11-06T12:10:33.794,0.07,rain
2025-11-06T12:10:45.354,0.03,rain
2025-11-06T12:10:57.101,0.05,rain
2025-11-06T12:11:08.904,0.57,rain
2025-11-06T12:11:20.578,0.60,rain
2025-11-06T12:11:32.059,0.15,rain
2025-11-06T12:11:43.686,0.21,rain
2025-11-06T12:11:55.095,0.03,rain
2025-11-06T12:13:03.291,0.44,rain
2025-11-06T12:13:15.097,0.45,rain
2025-11-06T12:13:26.953,0.01,rain
2025-11-06T12:13:50.579,0.65,rain
2025-11-06T12:14:02.355,0.56,rain
2025-11-06T12:14:13.865,0.03,rain
2025-11-06T12:14:25.694,0.01,rain
2025-11-06T12:15:00.331,0.03,rain
2025-11-06T12:15:12.001,0.25,rain
2025-11-06T12:16:09.689,0.01,rain
2025-11-06T12:16:33.125,0.01,rain
2025-11-06T12:16:57.007,0.06,rain
2025-11-06T12:17:08.578,0.03,rain
2025-11-06T12:17:32.847,0.06,rain
2025-11-06T12:18:53.742,0.04,rain
2025-11-06T12:19:16.625,0.02,rain
2025-11-06T12:20:36.177,0.02,rain
2025-11-06T12:20:47.966,0.13,rain
2025-11-06T12:21:46.484,0.02,rain
2025-11-06T12:23:07.606,0.02,rain
2025-11-06T12:23:30.793,0.10,rain
2025-11-06T12:23:42.268,0.07,rain
2025-11-06T12:23:53.799,0.07,rain
2025-11-06T12:24:05.509,0.04,rain
2025-11-06T12:24:17.265,0.16,rain
2025-11-06T12:24:40.512,0.06,rain
2025-11-06T12:24:52.148,0.29,rain
2025-11-06T12:25:03.820,0.08,rain
2025-11-06T12:25:15.386,0.02,rain
2025-11-06T12:25:27.082,0.01,rain
2025-11-06T12:26:48.675,0.01,rain
2025-11-06T12:27:38.975,0.03,rain
2025-11-06T12:28:13.584,0.06,rain
2025-11-06T12:29:36.680,0.01,rain
2025-11-06T12:30:12.108,0.03,rain
2025-11-06T12:30:23.940,0.02,rain
2025-11-06T12:30:59.471,0.02,rain
2025-11-06T12:31:22.501,0.02,rain
2025-11-06T12:32:57.117,0.02,rain
2025-11-06T12:33:09.213,0.07,rain
2025-11-06T12:33:21.306,0.02,rain
2025-11-06T12:33:33.353,0.14,rain
2025-11-06T12:33:45.174,0.10,rain
2025-11-06T12:34:34.516,0.08,rain
2025-11-06T12:34:46.216,0.01,rain
2025-11-06T12:35:33.813,0.01,rain
2025-11-06T12:35:45.852,0.03,rain
2025-11-06T12:35:57.936,0.02,rain
2025-11-06T12:36:09.820,0.06,rain
2025-11-06T12:36:33.915,0.04,rain
2025-11-06T12:36:45.851,0.09,rain
2025-11-06T12:36:57.806,0.02,rain
2025-11-06T12:37:09.811,0.04,rain
2025-11-06T12:37:33.855,0.01,rain
2025-11-06T12:38:37.195,0.03,rain
2025-11-06T12:39:13.739,0.01,rain
2025-11-06T12:39:48.148,0.01,rain
2025-11-06T12:39:59.495,0.03,rain
2025-11-06T12:40:11.515,0.06,rain
2025-11-06T12:40:34.882,0.01,rain
2025-11-06T12:40:59.440,0.04,rain
2025-11-06T12:41:11.053,0.06,rain
2025-11-06T12:41:22.881,0.09,rain
2025-11-06T12:41:34.777,0.05,rain
2025-11-06T12:41:46.622,0.01,rain
2025-11-06T12:41:58.580,0.04,rain
2025-11-06T12:42:46.633,0.03,rain
2025-11-06T12:42:58.971,0.01,rain
2025-11-06T12:43:11.443,0.05,rain
2025-11-06T12:44:00.175,0.06,rain
2025-11-06T12:44:11.468,0.01,rain
2025-11-06T12:44:34.651,0.03,rain
2025-11-06T12:44:46.107,0.01,rain
2025-11-06T12:45:09.543,0.01,rain
2025-11-06T12:45:21.473,0.10,rain
2025-11-06T12:45:33.542,0.15,rain
2025-11-06T12:46:23.090,0.23,rain
2025-11-06T12:46:35.778,0.41,rain
2025-11-06T12:46:48.290,0.01,rain
2025-11-06T12:47:25.543,0.03,rain
2025-11-06T12:48:02.175,0.04,rain
2025-11-06T12:48:14.432,0.06,rain
2025-11-06T12:48:26.731,0.04,rain
2025-11-06T12:48:38.901,0.06,rain
2025-11-06T12:48:50.972,0.04,rain
2025-11-06T12:49:02.742,0.15,rain
2025-11-06T12:49:27.073,0.03,rain
2025-11-06T12:50:29.629,0.03,rain
2025-11-06T12:50:41.716,0.04,rain
2025-11-06T12:50:53.956,0.03,rain
2025-11-06T12:51:06.206,0.03,rain
2025-11-06T12:51:56.235,0.05,rain
2025-11-06T12:52:08.219,0.01,rain
2025-11-06T12:52:20.255,0.13,rain
2025-11-06T12:52:32.596,0.06,rain
2025-11-06T12:52:57.013,0.05,rain
2025-11-06T12:53:09.294,0.02,rain
2025-11-06T12:53:21.581,0.04,rain
2025-11-06T12:53:46.254,0.06,rain
2025-11-06T12:57:06.206,0.03,rain
2025-11-06T13:00:53.429,0.01,rain
2025-11-06T13:02:35.256,0.13,rain
2025-11-06T13:03:13.948,0.01,rain
2025-11-06T13:03:26.769,0.03,rain
2025-11-06T13:03:39.625,0.03,rain
2025-11-06T13:09:04.588,0.03,rain
2025-11-06T13:14:25.196,0.03,rain
2025-11-06T13:14:38.672,0.04,rain
2025-11-06T13:15:59.611,0.01,rain
2025-11-06T13:16:53.783,0.14,rain
2025-11-06T13:27:09.072,0.14,rain
2025-11-06T13:27:23.409,0.30,rain
2025-11-06T13:27:37.416,0.01,rain
2025-11-06T13:28:32.932,0.02,rain
2025-11-06T13:35:19.784,0.18,rain
2025-11-06T13:35:33.954,0.24,rain
2025-11-06T13:35:48.241,0.08,rain
2025-11-06T13:39:06.193,0.04,rain
2025-11-06T13:40:17.806,0.03,rain
2025-11-06T13:40:32.043,0.04,rain
2025-11-06T13:41:00.558,0.03,rain
2025-11-06T13:41:14.713,0.03,rain
2025-11-06T13:41:43.185,0.01,rain
2025-11-06T13:42:54.781,0.01,rain
2025-11-06T13:48:03.275,0.02,rain
2025-11-06T13:48:17.730,0.04,rain
2025-11-06T13:49:16.897,0.02,rain
2025-11-06T13:52:14.691,0.06,rain
2025-11-06T13:54:26.862,0.01,rain
2025-11-06T13:55:40.490,0.03,rain
2025-11-06T13:57:07.872,0.02,rain
2025-11-06T13:58:05.662,0.04,rain
2025-11-06T13:58:34.551,0.01,rain
2025-11-06T13:59:03.511,0.03,rain
2025-11-06T13:59:46.843,0.01,rain
2025-11-06T14:00:31.094,0.01,rain
2025-11-06T14:01:30.244,0.01,rain
2025-11-06T14:03:14.633,0.02,rain
2025-11-06T14:05:28.466,0.02,rain
2025-11-06T14:05:43.389,0.25,rain
2025-11-06T14:06:13.050,0.04,rain
2025-11-06T14:09:26.620,0.01,rain
2025-11-06T14:10:41.489,0.01,rain
2025-11-06T14:11:26.967,0.04,rain
2025-11-06T14:11:56.986,0.05,rain
2025-11-06T14:12:57.224,0.02,rain
2025-11-06T14:13:12.349,0.01,rain
2025-11-06T14:13:58.301,0.01,rain
2025-11-06T14:16:16.767,0.05,rain
2025-11-06T14:16:32.802,0.39,rain
2025-11-06T14:16:48.524,0.15,rain
2025-11-06T14:17:34.475,0.01,rain
2025-11-06T14:18:05.440,0.01,rain
2025-11-06T14:18:36.173,0.02,rain
2025-11-06T14:20:40.418,0.01,rain
2025-11-06T14:21:11.385,0.01,rain
2025-11-06T14:21:26.676,0.01,rain
2025-11-06T14:22:59.130,0.01,rain
2025-11-06T14:23:44.877,0.02,rain
2025-11-06T14:24:00.203,0.04,rain
2025-11-06T14:24:15.663,0.04,rain
2025-11-06T14:24:31.301,0.02,rain
2025-11-06T14:25:02.549,0.23,rain
2025-11-06T14:25:18.209,0.09,rain
2025-11-06T14:26:04.496,0.10,rain
2025-11-06T14:27:38.823,0.02,rain
2025-11-06T14:28:09.878,0.02,rain
2025-11-06T14:28:25.595,0.02,rain
2025-11-06T14:29:13.006,0.64,rain
2025-11-06T14:29:28.894,0.24,rain
2025-11-06T14:30:31.393,0.04,rain
2025-11-06T14:30:47.125,0.01,rain
2025-11-06T14:36:45.165,0.01,rain
2025-11-06T14:39:18.838,0.02,rain
2025-11-06T14:39:34.118,0.03,rain
2025-11-06T14:40:20.254,0.01,rain
2025-11-06T14:40:50.533,0.03,rain
2025-11-06T14:41:21.073,0.04,rain
2025-11-06T14:42:22.150,0.01,rain
2025-11-06T14:42:52.864,0.01,rain
2025-11-06T14:43:38.992,0.01,rain
2025-11-06T14:44:10.056,0.04,rain
2025-11-06T14:44:40.793,0.01,rain
2025-11-06T14:47:30.824,0.04,rain
2025-11-06T14:48:32.224,0.03,rain
2025-11-06T14:50:34.747,0.01,rain
2025-11-06T14:53:24.199,0.02,rain
2025-11-06T14:54:42.346,0.06,rain
2025-11-06T14:54:58.088,0.06,rain
2025-11-06T14:58:07.481,0.02,rain
2025-11-06T14:58:22.888,0.01,rain
2025-11-06T14:58:38.310,0.04,rain
2025-11-06T14:59:25.333,0.02,rain
2025-11-06T15:06:28.028,0.03,rain
2025-11-06T15:06:59.943,0.03,rain
2025-11-06T15:07:16.216,0.04,rain
2025-11-06T15:07:32.501,0.02,rain
2025-11-06T15:10:15.836,0.04,rain
2025-11-06T15:11:21.527,0.05,rain
2025-11-06T15:12:10.175,0.02,rain
2025-11-06T15:14:53.570,0.02,rain
2025-11-06T15:16:14.726,0.02,rain
2025-11-06T15:16:47.891,0.01,rain
2025-11-06T15:17:37.561,0.03,rain
2025-11-06T15:18:26.792,0.11,rain
2025-11-06T15:18:43.226,0.09,rain
2025-11-06T15:18:59.507,0.01,rain
2025-11-06T15:19:16.122,0.04,rain
2025-11-06T15:19:32.781,0.02,rain
2025-11-06T15:20:05.478,0.03,rain
2025-11-06T15:23:25.452,0.01,rain
2025-11-06T15:23:40.893,0.02,rain
2025-11-06T15:23:56.710,0.09,rain
2025-11-06T15:26:14.475,0.03,rain
2025-11-06T15:26:44.119,0.35,rain
2025-11-06T15:26:58.632,0.10,rain
2025-11-06T15:27:14.045,0.04,rain
2025-11-06T15:27:29.278,0.04,rain
2025-11-06T15:28:28.973,0.02,rain
2025-11-06T15:36:01.220,0.06,rain
2025-11-06T15:40:48.723,0.01,rain
2025-11-06T15:51:48.012,0.14,rain
2025-11-06T15:55:50.107,0.02,rain
2025-11-06T16:12:47.611,0.06,rain
2025-11-06T17:00:48.912,0.01,rain
2025-11-06T17:20:40.980,0.18,rain
2025-11-06T18:00:14.400,0.21,rain
2025-11-06T20:00:40.911,0.08,rain
2025-11-06T20:02:41.871,0.06,rain
2025-11-06T20:55:55.231,0.04,rain
2025-11-06T21:00:06.744,0.08,rain
2025-11-06T21:00:20.494,0.09,rain
2025-11-06T21:18:01.451,0.02,rain
2025-11-06T21:28:05.358,0.07,rain
2025-11-06T21:41:24.971,0.04,rain
2025-11-06T21:55:43.356,0.01,rain
