Time,Number of drops per frame,rain on ground
2025-11-23T00:00:18.291847,0.05,
2025-11-23T03:00:25.105630,0.05,
2025-11-23T07:14:45.550671,0.15,rain:0.9851396679878235 rain:0.9653798937797546 
2025-11-23T07:16:21.781557,0.15,rain:0.9813018441200256 rain:0.9620326161384583 
2025-11-23T07:22:47.352130,0.44999999999999996,rain:0.9850993752479553 rain:0.9671846032142639 
2025-11-23T07:24:23.618173,0.5,rain:0.983549952507019 rain:0.963856041431427 
2025-11-23T07:24:47.726305,0.15,rain:0.9840440154075623 rain:0.9663414359092712 
2025-11-23T07:27:12.439399,0.15,rain:0.9850660562515259 rain:0.9689059257507324 
2025-11-23T07:27:36.638660,0.44999999999999996,rain:0.9854767918586731 rain:0.9671526551246643 
2025-11-23T07:28:49.480247,0.05,rain:0.9837366938591003 rain:0.9608680605888367 
2025-11-23T07:33:16.582777,0.05,rain:0.9843035340309143 rain:0.9649180769920349 
2025-11-23T07:34:29.422879,0.15,rain:0.9842297434806824 rain:0.9645763635635376 
2025-11-23T07:35:18.001385,0.2,rain:0.9845014214515686 rain:0.9674338102340698 
2025-11-23T07:36:30.832029,0.15,rain:0.9832450151443481 rain:0.9674013257026672 
2025-11-23T07:50:12.505626,0.05,rain:0.9827797412872314 rain:0.964324414730072 
2025-11-23T07:52:12.986218,0.5,rain:0.9844130873680115 rain:0.9671084880828857 
2025-11-23T07:52:37.090790,0.8500000000000001,rain:0.9840174317359924 rain:0.9687396287918091 
2025-11-23T07:53:01.186149,0.15,rain:0.9843763113021851 rain:0.9694429039955139 
2025-11-23T07:59:03.187000,0.15,rain:0.9832752346992493 rain:0.9628291130065918 
2025-11-23T08:05:30.986893,0.15,rain:0.9773499369621277 rain:0.960133969783783 
2025-11-23T08:11:10.929712,0.25,rain:0.9798843860626221 rain:0.9613433480262756 
2025-11-23T08:23:16.693847,0.2,rain:0.9669797420501709 rain:0.9626984596252441 
2025-11-23T08:26:29.538566,0.15,rain:0.9673430919647217 rain:0.9604085683822632 
2025-11-23T08:27:41.851590,0.3,rain:0.9670262932777405 rain:0.9597834348678589 
2025-11-23T08:28:05.953343,0.15,rain:0.963862955570221 rain:0.9557751417160034 
2025-11-23T08:28:54.154168,0.25,rain:0.9599462151527405 rain:0.9359189867973328 
2025-11-23T08:37:44.816350,0.15,rain:0.9587790369987488 rain:0.9535182118415833 
2025-11-23T08:42:34.044207,0.55,rain:0.9642412662506104 rain:0.9555497765541077 
2025-11-23T08:49:48.190160,0.05,rain:0.9576314091682434 rain:0.7173002362251282 
2025-11-23T08:50:12.477351,0.05,rain:0.9573151469230652 rain:0.93412846326828 
2025-11-23T08:51:24.828638,1.05,rain:0.9720423817634583 rain:0.9619475603103638 
2025-11-23T08:52:13.073759,0.05,rain:0.9648990035057068 rain:0.9595552086830139 
2025-11-23T08:55:25.899712,0.3,rain:0.9633725881576538 rain:0.8933108448982239 
2025-11-23T08:56:38.235759,0.25,rain:0.9591590166091919 rain:0.9561935663223267 
2025-11-23T08:58:38.797041,0.15,rain:0.9594242572784424 rain:0.9101365804672241 
2025-11-23T09:05:52.981362,0.15,rain:0.9648926854133606 rain:0.9559656381607056 
2025-11-23T09:06:41.189776,0.05,rain:0.9644850492477417 rain:0.961214542388916 
2025-11-23T09:07:53.494666,0.15,rain:0.9552758932113647 rain:0.9500099420547485 
2025-11-23T09:09:29.887709,0.35000000000000003,rain:0.9643494486808777 rain:0.949503481388092 
2025-11-23T09:14:19.092258,0.05,rain:0.9595094323158264 rain:0.9541957974433899 
2025-11-23T09:17:31.979539,0.05,rain:0.9421442151069641 rain:0.9330938458442688 
2025-11-23T09:18:20.256578,0.25,rain:0.9490838646888733 rain:0.8558681011199951 
2025-11-23T09:21:57.253798,0.3,
2025-11-23T09:22:21.248220,0.05,
2025-11-23T09:23:33.324547,0.25,rain:0.9126483201980591 rain:0.826043426990509 
2025-11-23T09:25:57.886664,0.05,rain:0.9239413738250732 
2025-11-23T09:26:46.045630,0.35000000000000003,rain:0.9584461450576782 rain:0.9575705528259277 
2025-11-23T09:27:58.311637,0.2,rain:0.9106850624084473 
2025-11-23T09:37:13.660282,0.2,rain:0.9322028160095215 rain:0.8911466002464294 
2025-11-23T09:45:16.185002,0.05,rain:0.861910343170166 
2025-11-23T09:57:19.541221,0.05,rain:0.9233141541481018 
2025-11-23T09:58:08.056030,0.15,rain:0.8672075867652893 
2025-11-23T09:59:20.769357,0.15,rain:0.7638020515441895 
2025-11-23T10:01:21.773256,0.05,rain:0.8980159759521484 
2025-11-23T10:01:45.956161,0.2,rain:0.8983423709869385 
2025-11-23T10:04:59.066450,0.05,rain:0.8766506910324097 
2025-11-23T10:05:23.190179,0.25,rain:0.7791821360588074 
2025-11-23T10:05:47.413753,0.3,rain:0.858522355556488 
2025-11-23T10:06:35.875373,0.05,rain:0.7658928632736206 
2025-11-23T10:07:48.401962,0.35000000000000003,rain:0.770518958568573 
2025-11-23T10:09:01.044972,0.25,rain:0.799066960811615 
2025-11-23T10:09:25.117723,1.25,rain:0.8640146255493164 
2025-11-23T10:10:13.260473,0.2,rain:0.7020994424819946 
2025-11-23T10:10:37.331537,0.05,
2025-11-23T10:11:01.406165,0.25,rain:0.724688708782196 
2025-11-23T10:11:49.487605,0.05,rain:0.8550435304641724 
2025-11-23T10:12:37.540987,0.05,rain:0.7145475745201111 
2025-11-23T10:13:50.065489,0.3,
2025-11-23T10:14:14.283939,0.2,rain:0.7700044512748718 
2025-11-23T10:21:29.428197,0.25,
2025-11-23T10:22:17.498066,0.05,
2025-11-23T10:22:41.533993,0.15,
2025-11-23T10:24:42.309588,0.3,
2025-11-23T10:29:32.489425,0.05,
2025-11-23T10:37:35.622382,0.15,
2025-11-23T10:39:36.276383,0.15,
2025-11-23T10:40:24.609972,0.2,
2025-11-23T10:40:48.778456,0.2,
2025-11-23T10:44:02.227356,0.3,
2025-11-23T10:44:26.403084,0.8,
2025-11-23T10:44:50.567882,0.25,
2025-11-23T10:46:26.700900,0.3,
2025-11-23T10:47:14.785464,0.15,
2025-11-23T10:48:50.861869,0.44999999999999996,
2025-11-23T10:49:38.924848,0.2,
2025-11-23T10:50:26.992094,0.15,
2025-11-23T10:52:03.662588,0.55,
2025-11-23T10:58:29.355235,0.2,
2025-11-23T11:04:07.495956,0.3,
2025-11-23T11:08:08.121841,0.25,
2025-11-23T11:16:09.851896,0.15,
2025-11-23T11:22:09.856337,0.25,
2025-11-23T11:23:22.156306,0.15,
2025-11-23T11:24:58.689803,0.05,
2025-11-23T11:25:22.691664,0.6,
2025-11-23T11:28:10.651785,0.15,
2025-11-23T11:29:22.645707,0.15,
2025-11-23T11:30:34.649072,0.05,
2025-11-23T11:32:10.651586,0.2,
2025-11-23T11:32:34.654551,0.3,
2025-11-23T11:32:58.654537,1.55,
2025-11-23T11:33:46.658878,0.55,
2025-11-23T11:34:10.661860,0.35000000000000003,
2025-11-23T11:35:46.807219,1.4000000000000001,
2025-11-23T11:36:59.331806,0.95,
2025-11-23T11:37:23.562046,2.25,rain:0.9363090395927429 
2025-11-23T11:37:47.796054,3.4499999999999997,rain:0.914980411529541 
2025-11-23T11:38:12.047523,0.15,rain:0.9394026398658752 
2025-11-23T11:38:36.298151,0.6,rain:0.9012086391448975 
2025-11-23T11:40:37.543141,0.3,rain:0.9397309422492981 
2025-11-23T11:41:01.778524,0.35000000000000003,rain:0.8999844193458557 
2025-11-23T11:43:50.372077,0.35000000000000003,rain:0.7462672591209412 
2025-11-23T11:44:14.412149,0.8,rain:0.7924723029136658 
2025-11-23T11:44:38.466623,0.44999999999999996,rain:0.8318119645118713 
