Time,Number of drops per frame,rain on ground
2025-11-26T07:19:33.737324,0.25,no_rain:0.9866885542869568 
2025-11-26T07:21:34.387883,0.6,no_rain:0.9870346188545227 
2025-11-26T07:23:35.003804,0.05,no_rain:0.9873471260070801 
2025-11-26T07:24:23.209463,0.15,no_rain:0.9883561730384827 
2025-11-26T07:25:35.509708,0.25,no_rain:0.9869547486305237 
2025-11-26T07:25:59.611949,0.15,no_rain:0.9878920316696167 
2025-11-26T07:26:23.719117,0.05,no_rain:0.9878238439559937 
2025-11-26T07:28:00.156058,0.15,no_rain:0.9875725507736206 
2025-11-26T07:33:37.579849,0.15,no_rain:0.9870665669441223 
2025-11-26T07:36:02.169108,0.15,no_rain:0.9747288227081299 
2025-11-26T07:36:26.296422,0.15,no_rain:0.9804109930992126 
2025-11-26T07:36:50.398152,0.05,no_rain:0.9861243963241577 
2025-11-26T07:37:38.615126,0.15,no_rain:0.9865119457244873 
2025-11-26T07:38:26.822298,0.15,no_rain:0.9859435558319092 
2025-11-26T07:38:50.923667,0.05,no_rain:0.986539900302887 
2025-11-26T07:40:03.221995,0.6,no_rain:0.9859606027603149 
2025-11-26T07:41:39.627138,0.2,no_rain:0.9870660901069641 
2025-11-26T07:42:27.826258,0.15,no_rain:0.9843587875366211 
2025-11-26T07:42:51.926972,0.3,no_rain:0.9862186312675476 
2025-11-26T07:44:04.244069,0.05,no_rain:0.986713171005249 
2025-11-26T07:44:28.372641,0.05,no_rain:0.9860536456108093 
2025-11-26T07:46:04.779257,0.15,no_rain:0.9870967864990234 
2025-11-26T07:50:05.751457,0.05,no_rain:0.987647533416748 
2025-11-26T07:52:30.359007,0.15,no_rain:0.9867903590202332 
2025-11-26T07:59:20.113533,0.15,no_rain:0.9866270422935486 
2025-11-26T08:00:32.415308,0.05,no_rain:0.9861213564872742 
2025-11-26T08:00:56.528463,0.15,no_rain:0.9872209429740906 
2025-11-26T08:07:23.872943,0.2,no_rain:0.9787907600402832 
2025-11-26T08:09:25.324641,0.15,no_rain:0.9816203117370605 
2025-11-26T08:11:02.453896,0.15,no_rain:0.9745727777481079 
2025-11-26T08:12:15.281032,0.05,no_rain:0.9765828251838684 
2025-11-26T08:12:39.562445,0.05,no_rain:0.9759545922279358 
2025-11-26T08:16:42.339994,0.2,no_rain:0.9859656095504761 
2025-11-26T08:17:55.235438,0.05,no_rain:0.9787550568580627 
2025-11-26T08:19:08.118897,0.15,no_rain:0.9780028462409973 
2025-11-26T08:22:46.442260,0.15,no_rain:0.9745467305183411 
2025-11-26T08:23:34.654985,0.05,no_rain:0.9760602116584778 
2025-11-26T08:23:58.757517,0.15,no_rain:0.9699347615242004 
2025-11-26T08:27:11.478167,0.15,no_rain:0.9787915945053101 
2025-11-26T08:28:23.789581,0.05,no_rain:0.9692098498344421 
2025-11-26T08:30:24.284334,0.05,no_rain:0.9747663140296936 
2025-11-26T08:30:48.391578,0.05,no_rain:0.980014443397522 
2025-11-26T08:32:00.704875,0.2,no_rain:0.9826613068580627 
2025-11-26T08:32:24.823116,0.2,no_rain:0.9755353331565857 
2025-11-26T08:34:25.326347,0.15,no_rain:0.9698837399482727 
2025-11-26T08:38:26.408283,0.05,no_rain:0.9739809036254883 
2025-11-26T08:39:38.712578,0.15,no_rain:0.9686699509620667 
2025-11-26T08:40:51.009183,0.05,no_rain:0.9792951345443726 
2025-11-26T08:41:15.121078,0.25,no_rain:0.9709088802337646 
2025-11-26T08:41:39.217890,0.35000000000000003,no_rain:0.9780805110931396 
2025-11-26T08:48:53.020394,0.15,no_rain:0.9750560522079468 
2025-11-26T08:50:05.321037,0.2,no_rain:0.9650375247001648 
2025-11-26T08:51:41.722621,0.2,no_rain:0.9766110181808472 
2025-11-26T08:53:18.113602,0.2,no_rain:0.9750357270240784 
2025-11-26T08:56:06.812332,0.15,no_rain:0.9819254875183105 
2025-11-26T08:56:55.008168,0.55,no_rain:0.9815105199813843 
2025-11-26T08:57:43.187205,0.2,no_rain:0.9696307182312012 
2025-11-26T08:59:19.613262,0.25,no_rain:0.9835752248764038 
2025-11-26T09:02:08.628678,0.15,no_rain:0.9700106978416443 
2025-11-26T09:08:58.764805,0.15,no_rain:0.976934015750885 
2025-11-26T09:10:59.402289,0.35000000000000003,no_rain:0.9779419302940369 
2025-11-26T09:12:11.800460,0.2,no_rain:0.9784628748893738 
2025-11-26T09:12:35.928240,0.35000000000000003,no_rain:0.9818407893180847 
2025-11-26T09:21:50.607511,0.15,no_rain:0.9473991990089417 
2025-11-26T09:23:26.984238,0.2,no_rain:0.9741997718811035 
2025-11-26T09:26:15.691371,0.15,no_rain:0.977626383304596 
2025-11-26T09:27:28.004953,0.15,no_rain:0.9811537861824036 
2025-11-26T09:28:16.188008,0.15,no_rain:0.9811602234840393 
2025-11-26T09:29:52.577825,0.05,no_rain:0.9697704911231995 
2025-11-26T09:31:28.927546,0.05,no_rain:0.9724200963973999 
2025-11-26T09:40:19.021376,0.15,no_rain:0.9815170168876648 
2025-11-26T09:53:10.723083,0.15,no_rain:0.9765106439590454 
2025-11-26T09:54:23.528099,0.3,no_rain:0.9499652981758118 
2025-11-26T09:56:49.305266,0.05,no_rain:0.9763455986976624 
2025-11-26T09:58:26.439610,0.25,no_rain:0.9744643568992615 
2025-11-26T10:01:15.942217,0.05,no_rain:0.9661638140678406 
2025-11-26T10:08:54.058265,0.2,no_rain:0.984439492225647 
2025-11-26T10:10:06.376394,0.25,no_rain:0.9738727807998657 
2025-11-26T10:29:04.747909,0.15,no_rain:0.981401264667511 
2025-11-26T10:29:28.851255,0.2,no_rain:0.9868184328079224 
2025-11-26T10:32:17.612847,0.35000000000000003,no_rain:0.9737903475761414 
2025-11-26T10:42:44.648487,1.3,no_rain:0.9778292179107666 
2025-11-26T10:44:45.253538,0.25,no_rain:0.9846246242523193 
2025-11-26T10:45:09.373813,0.05,no_rain:0.985301673412323 
2025-11-26T10:47:09.980538,0.05,no_rain:0.976778507232666 
2025-11-26T10:47:34.105307,0.05,no_rain:0.9711350202560425 
2025-11-26T10:47:58.214931,0.05,no_rain:0.9804296493530273 
2025-11-26T10:48:46.413969,0.05,no_rain:0.9734496474266052 
2025-11-26T10:49:10.525902,0.05,no_rain:0.9792138934135437 
2025-11-26T10:49:58.911620,0.2,no_rain:0.9728155732154846 
2025-11-26T10:53:13.122073,0.15,no_rain:0.9785771369934082 
2025-11-26T10:53:37.385968,0.15,no_rain:0.979681134223938 
2025-11-26T10:54:25.934042,0.2,no_rain:0.9708196520805359 
2025-11-26T10:54:50.137774,0.15,no_rain:0.9783825278282166 
2025-11-26T10:56:02.479278,0.35000000000000003,no_rain:0.9748293161392212 
2025-11-26T10:56:26.583561,0.05,no_rain:0.9748704433441162 
