Time,Number of drops per frame,rain on ground
2025-11-08T00:00:07.112512,0.26,rain
2025-11-08T00:06:31.051036,0.01,rain
2025-11-08T00:08:49.697780,0.01,rain
2025-11-08T00:08:55.029880,0.09,rain
2025-11-08T00:09:00.361891,0.07,rain
2025-11-08T00:23:40.686195,0.03,rain
2025-11-08T00:29:11.298609,0.23,rain
2025-11-08T00:29:16.630595,0.34,rain
2025-11-08T00:29:21.962944,0.31,rain
2025-11-08T00:29:27.295176,0.25,rain
2025-11-08T00:29:32.628015,0.3,rain
2025-11-08T00:29:37.959974,0.15,rain
2025-11-08T00:29:43.292175,0.33,rain
2025-11-08T00:29:48.624296,0.28,rain
2025-11-08T00:29:53.956794,0.06,rain
2025-11-08T00:29:59.289051,0.07,rain
2025-11-08T00:30:04.625470,0.09,rain
2025-11-08T00:30:09.957518,0.17,rain
2025-11-08T00:30:20.621965,0.3,rain
2025-11-08T00:30:25.953611,0.35,rain
2025-11-08T00:30:31.286671,0.45,rain
2025-11-08T00:30:36.619011,0.38,rain
2025-11-08T00:30:41.951048,0.34,rain
2025-11-08T00:30:47.283445,0.34,rain
2025-11-08T00:30:52.615903,0.36,rain
2025-11-08T00:30:57.948035,0.38,rain
2025-11-08T00:31:03.280302,0.28,rain
2025-11-08T00:31:08.612791,0.24,rain
2025-11-08T00:31:13.945129,0.29,rain
2025-11-08T00:31:19.277096,0.33,rain
2025-11-08T00:31:24.609569,0.42,rain
2025-11-08T00:31:29.942087,0.39,rain
2025-11-08T00:31:35.277879,0.3,rain
2025-11-08T00:31:40.742389,0.24,rain
2025-11-08T00:31:46.074470,0.39,rain
2025-11-08T00:31:51.406465,0.38,rain
2025-11-08T00:31:56.738902,0.29,rain
2025-11-08T00:32:02.071577,0.19,rain
2025-11-08T00:32:07.403209,0.33,rain
2025-11-08T00:32:12.735164,0.26,rain
2025-11-08T00:32:18.067116,0.28,rain
2025-11-08T00:32:23.399515,0.44,rain
2025-11-08T00:32:28.731570,0.31,rain
2025-11-08T00:32:34.063811,0.21,rain
2025-11-08T00:32:39.395710,0.16,rain
2025-11-08T00:32:44.732032,0.31,rain
2025-11-08T00:35:14.039286,0.04,rain
2025-11-08T00:35:35.368523,0.06,rain
2025-11-08T00:35:40.700709,0.17,rain
2025-11-08T00:35:51.368479,0.1,rain
2025-11-08T00:35:56.701400,0.09,rain
2025-11-08T00:40:39.322949,0.05,rain
2025-11-08T00:41:53.975403,0.05,rain
2025-11-08T01:19:13.948474,0.03,rain
2025-11-08T01:20:17.939698,0.33,rain
2025-11-08T01:20:39.268751,0.16,rain
2025-11-08T01:21:00.597646,0.05,rain
2025-11-08T01:51:19.241644,0.55,rain
2025-11-08T01:54:31.211100,0.28,rain
2025-11-08T02:02:57.926716,0.01,rain
2025-11-08T02:30:15.328492,0.01,rain
2025-11-08T02:35:56.608817,0.01,rain
2025-11-08T02:57:37.931579,0.01,rain
2025-11-08T03:00:07.642127,0.38,rain
2025-11-08T03:25:00.869564,0.03,rain
2025-11-08T03:25:06.201585,0.01,rain
2025-11-08T03:25:11.533883,0.06,rain
2025-11-08T04:24:34.156817,0.03,rain
2025-11-08T04:51:57.157894,0.01,rain
2025-11-08T05:15:35.598163,0.01,rain
2025-11-08T05:17:48.907932,0.01,rain
2025-11-08T05:41:38.011067,0.01,rain
2025-11-08T06:00:01.830717,0.03,rain
2025-11-08T06:00:07.629369,0.12,rain
2025-11-08T06:17:16.865503,0.05,rain
2025-11-08T06:43:14.013629,0.01,rain
2025-11-08T07:07:19.308202,0.01,rain
2025-11-08T07:12:55.251240,0.05,rain
2025-11-08T07:15:19.231419,0.01,rain
2025-11-08T07:28:44.502001,0.03,rain
2025-11-08T07:29:16.495330,0.01,rain
2025-11-08T07:29:43.156871,0.03,rain
2025-11-08T07:30:52.479496,0.01,rain
2025-11-08T07:31:51.139378,0.01,rain
2025-11-08T07:45:59.133879,0.01,rain
2025-11-08T07:47:40.449377,0.01,rain
2025-11-08T07:58:41.812053,0.01,rain
